 57 NGVS-UCD57  NGVS-J121600.62+141633.5 l 184.0025831 14.2759618 0.038 20.492 0.002 17.742 0.147  0.905 0.006  0.718 0.004  0.870 0.006  0.032 1
 58 NGVS-UCD58  NGVS-J121603.72+150416.1 l 184.0155151 15.0711362 0.037 21.122 0.003               0.996 0.015  0.591 0.007  0.700 0.013  0.102 0
 59 NGVS-UCD59  NGVS-J121617.56+105015.8 l 184.0731796 10.8377225 0.032 21.352 0.004               0.884 0.013  0.642 0.008  0.659 0.014  0.011 0
 60 NGVS-UCD60  NGVS-J121631.68+155124.7 l 184.1320087 15.8568706 0.026 20.799 0.002               0.895 0.008  0.623 0.005  0.722 0.009  0.074 1
 61 NGVS-UCD61  NGVS-J121632.60+092309.1 s 184.1358270  9.3858577 0.017 17.983 0.004 14.399 0.007                            1.483 0.011  0.230 0
 62 NGVS-UCD62  NGVS-J121648.99+133505.8 l 184.2041330 13.5849386 0.033 20.990 0.003               1.004 0.010  0.689 0.006  0.794 0.010  0.033 0
 63 NGVS-UCD63  NGVS-J121649.78+133014.7 l 184.2074070 13.5040889 0.033 20.604 0.002 18.140 0.176  0.192 0.005 -0.712 0.009 -0.613 0.020 -0.825 0
 64 NGVS-UCD64  NGVS-J121651.27+141360.0 l 184.2136410 14.2333229 0.035 21.375 0.004               0.953 0.012  0.559 0.008  0.626 0.014  0.026 1
 65 NGVS-UCD65  NGVS-J121701.13+092427.1 s 184.2546935  9.4075253 0.018 18.840 0.014 15.864 0.022                            0.824 0.044  0.206 0
 66 NGVS-UCD66  NGVS-J121707.42+065754.7 l 184.2809048  6.9652057 0.019 21.476 0.004               1.047 0.015  0.639 0.008  0.725 0.011  0.003 1
 67 NGVS-UCD67  NGVS-J121721.61+111348.9 l 184.3400357 11.2302383 0.032 21.433 0.005               1.050 0.015  0.790 0.009  0.886 0.013  0.020 1
 68 NGVS-UCD68  NGVS-J121748.19+151824.0 l 184.4508107 15.3066755 0.028 21.453 0.004               0.859 0.010  0.629 0.007  0.625 0.012 -0.008 1
 69 NGVS-UCD69  NGVS-J121751.17+155308.0 l 184.4632091 15.8855564 0.026 21.460 0.004               1.053 0.013  0.718 0.007  0.850 0.013  0.011 0
 70 NGVS-UCD70  NGVS-J121757.63+161013.3 l 184.4901255 16.1703531 0.027 21.399 0.004               0.927 0.012  0.611 0.008  0.630 0.014  0.040 1
 71 NGVS-UCD71  NGVS-J121811.33+065302.4 l 184.5472185  6.8840004 0.020 21.417 0.004               0.989 0.012  0.820 0.008  0.915 0.009  0.004 1
 72 NGVS-UCD72  NGVS-J121816.97+163926.0 l 184.5707011 16.6572148 0.030 20.012 0.001               1.136 0.005  0.671 0.003  0.787 0.004  0.115 0
 73 NGVS-UCD73  NGVS-J121825.04+171645.7 s 184.6043287 17.2793730 0.029 17.822 0.007                                         0.728 0.019 -0.062 0
 74 NGVS-UCD74  NGVS-J121832.26+072733.7 l 184.6344124  7.4593505 0.021 21.106 0.003 18.568 0.236  0.916 0.009  0.730 0.006  0.832 0.007  0.031 1
