rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,has_ls_dr10,hyperleda_type,is_lit_host,is_cluster,score_lum,score_lit,score_field,score_dist,total_score
119,1,MESSIER 083,204.25395833333,-29.865416666669997,31.973013804615363,314.5837901528976,4.9,LVG,-23.83198040014257,10.844792160057027,69950715333.90991,4.619,4.255099,4.1309257,28.4,,,,5.0,8.2,4.6,0.0017109999898821,True,,False,False,23.02330366678749,0,20,16.080000000000002,59.1033036667875
66,1,NGC 4725,192.6107212,25.5007659,88.35731128428266,295.0750893439732,12.246161992650496,CF4,-24.267999999999997,11.0192,104520144145.84352,6.172,6.080727,6.0903316,,30.664,30.595,,,,,0.0040330002084374,True,SBab,False,False,28.730366492146526,0,20,10.203070405879604,58.93343689802613
29,1,NGC 1532,63.0180627,-32.8740959,-46.584061022089,233.1682423210407,19.18668740670289,CF4,-24.686,11.1864,153603106838.50302,6.729,6.3515496,6.295694,,,31.415,,,,,0.0034680000972002,True,SBb,False,False,34.20157068062822,0,20,4.650650074637688,58.85222075526591
105,1,MESSIER 106,184.7396025,47.30397305556,68.84204477672394,138.32028811447267,7.66,LVG,-23.95714384816302,10.89485753926521,78497809760.53622,5.464,5.246589,5.215584,29.4,29.234,29.345,,4.0,9.1,5.5,0.0015377304516732,True,,False,False,24.66156869323327,0,20,13.872,58.53356869323327
89,1,NGC 3115,151.308242,-7.718581,36.78096154140392,247.78246032836833,9.68,LVG,-24.04637678654197,10.930550714616787,85221802309.0437,5.883,5.6506696,5.702002,,29.914,,,-1.0,9.9,5.9,0.0022869154345244,True,,False,False,25.829539090863406,0,20,12.256,58.085539090863406
24,1,NGC 5363,209.03004166667,5.25477777778,63.24582177391727,340.96082721163793,22.399999618530273,NED-LVS,-24.81724005469086,11.238896021876345,173338894272.8571,6.934,6.6856585,6.7170553,,,,,,,,0.0037990000564604,True,SO-a,False,False,35.91937244359759,0,20,2.080000305175782,57.99937274877337
25,1,NGC 3607,169.2277834,18.0517842,66.42237107534478,230.5997337377046,22.84546488551827,CF4,-24.799999999999997,11.232,170608238900.31207,6.994,6.64891,6.7053795,,31.794,,,,,,0.0031020001042634,True,E-SO,False,False,35.69371727748681,0,20,1.7236280915853852,57.417345369072194
91,1,NGC 3628,170.070611,13.589412,64.78056067156444,240.85135655425933,10.52,LVG,-24.03607869908861,10.926431479635443,84417304286.92819,6.074,5.7811484,5.637206,,,30.135,,4.0,10.3,6.1,0.002822000067681,True,,False,False,25.69474737026969,0,20,11.584,57.278747370269684
27,1,NGC 2768,137.906265,60.037209,40.56344956549775,155.4947255252544,22.532013356294826,CF4,-24.766999999999996,11.2188,165500762876.99896,6.997,6.8048825,6.819084,,31.764,,,,,,0.0045130001381039,True,E,False,False,35.26178010471196,0,20,1.97438931496414,57.2361694196761
41,1,NGC 2442,114.099199,-69.5308079,-21.50174427843169,281.2994004401103,19.37313924581955,CF4,-24.567,11.138800000000002,137657538650.94214,6.869,6.734316,6.6513267,,,,,,,,0.0048900498077273,True,SBbc,False,False,32.64397905759161,0,20,4.5014886033443595,57.145467660935964
