rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,hyperleda_type,hyperleda_t
11,1,MESSIER 085,186.35022,18.19108,79.23721946311622,267.7119829089331,17.741894808901662,CF4,-25.100000000000005,11.352000000000004,224905460583.5801,6.145,5.789463,5.808144,,31.264,,30.276,,,,0.0024319998919963,,
12,1,MESSIER 084,186.2655969175,12.8869829413889,74.47836073408554,278.20446809886755,17.864875748520518,CF4,-25.038000000000004,11.327200000000005,212422247738.8712,6.222,5.751313,5.78404,,31.274,,31.396,,,,0.00339199998416,E,
13,1,NGC 1395,54.6244708333333,-23.0274722222222,-52.12013421364589,216.21176616796345,24.277278476809965,CF4,-25.031999999999996,11.3248,211251596624.0851,6.894,6.5950584,6.6563716,,31.934,,31.846,,,,0.0057270000688731,E,
14,1,NGC 4125,182.025071,65.174133,51.33907435696776,130.1897034349388,23.528812019381697,CF4,-25.002999999999997,11.3132,205683758662.7888,6.855,6.579667,6.625122,,31.934,,,,,,0.0042732898145914,E,
15,1,NGC 1553,64.043484,-55.7800054,-43.69130526846825,265.63130653174295,18.046791465567217,CF4,-25.001000000000005,11.312400000000004,205305223927.94873,6.281,5.986952,6.0148597,,31.354,,29.756,,,,0.0036019999533891,SO,
16,1,NGC 1365,53.4016965,-36.1401859,-54.59798343695049,237.9557263523671,18.732683693442123,CF4,-24.99,11.308,203235701093.6221,6.373,6.046259,5.763622,31.4,,30.645,,,,,0.0054569998756051,SBb,
17,1,MESSIER 058,189.43134166667,11.81819388889,74.35525886991456,290.39680792808025,19.51641300285829,CF4,-24.966000000000005,11.298400000000004,198792502104.1894,6.486,6.349943,6.349341,,31.514,31.035,,,,,0.0050599998794496,SBb,
18,1,MESSIER 086,186.5489619,12.946192,74.63697311233155,279.08229962787743,16.2710018157959,NED-LVS,-24.95407146771982,11.29362858708793,196620405343.33936,6.103,5.5012045,5.5842233,,,,,,,,-0.0007469999836757,,
19,1,NGC 4699,192.2590681,-8.6644226,54.20259275372384,301.9171251553796,19.453600816226633,CF4,-24.944,11.2896,194804955329.07657,6.501,6.242595,6.2631264,,,31.445,,,,,0.0046500000171363,SBb,
20,1,MESSIER 104,189.9976312,-11.62308847,51.14924844632753,298.46058763986997,9.55,LVG,-24.93801685791873,11.287206743167491,193734400494.04288,4.962,4.688943,4.7486305,29.8,29.984,30.855,,1.0,9.0,5.0,0.003633180167526,,
21,1,NGC 1332,51.5717781,-21.3351665,-54.36641562314141,212.18246846720425,23.834168206731523,CF4,-24.834000000000003,11.245600000000003,176035395361.6177,7.052,6.8666267,6.9006605,,31.794,,32.596,,,,0.0054000001400709,E-SO,
22,1,NGC 7331,339.266927,34.415756,-20.724004343158132,93.72193241976952,14.833834648132324,NED-LVS,-24.828267168240707,11.243306867296283,175108354632.80643,6.028,5.706159,5.597467,,,,,,,,0.0027218831237405,Sbc,
23,1,NGC 3585,168.3212716,-26.7548477,31.17544309617513,277.24637563372966,20.15579812825191,CF4,-24.819,11.2396,173620099190.14227,6.703,6.313658,6.364159,,31.584,,30.716,,,,0.0047829998657107,E,
24,1,NGC 5363,209.03004166667,5.25477777778,63.24582177391727,340.96082721163793,22.399999618530273,NED-LVS,-24.81724005469086,11.238896021876345,173338894272.8571,6.934,6.6856585,6.7170553,,,,,,,,0.0037990000564604,SO-a,
25,1,NGC 3607,169.2277834,18.0517842,66.42237107534478,230.5997337377046,22.84546488551827,CF4,-24.799999999999997,11.232,170608238900.31207,6.994,6.64891,6.7053795,,31.794,,,,,,0.0031020001042634,E-SO,
26,1,NGC 2841,140.5111052,50.9766067,44.15131931294787,166.94189131519192,14.662229061058069,CF4,-24.769,11.219600000000002,165805907510.89236,6.062,5.933365,5.933222,,,31.435,,,,,0.0021180000621825,Sb,
27,1,NGC 2768,137.906265,60.037209,40.56344956549775,155.4947255252544,22.532013356294826,CF4,-24.766999999999996,11.2188,165500762876.99896,6.997,6.8048825,6.819084,,31.764,,,,,,0.0045130001381039,E,
28,1,NGC 7507,348.03157,-28.53954,-68.03817738695302,23.443231882869128,24.93446188097833,CF4,-24.696,11.190400000000002,155024378887.10495,7.288,6.988438,7.053891,,31.984,,,,,,0.0051569999195635,E,
29,1,NGC 1532,63.0180627,-32.8740959,-46.584061022089,233.1682423210407,19.18668740670289,CF4,-24.686,11.1864,153603106838.50302,6.729,6.3515496,6.295694,,,31.415,,,,,0.0034680000972002,SBb,
30,1,NGC 3169,153.5627301,3.4660832,45.647165759485866,238.20180669115632,24.694486510125824,CF4,-24.68,11.184,152756605823.80765,7.283,6.942184,6.8894014,,,,,,,,0.0041100000962615,,
31,1,NGC 7213,332.31770833333,-47.16675,-52.58013594506099,349.58836658755274,22.0,NED-LVS,-24.677113404111036,11.182845361644416,152351018402.50497,7.035,6.57454,6.5211115,,,,,,,,0.0058389999903738,Sa,
32,1,NGC 1380,54.1148758,-34.9760337,-54.05866880201989,235.9258514546404,20.25816014501358,CF4,-24.664,11.177600000000002,150522006863.2136,6.869,6.730079,6.7507925,,31.584,,31.206,,,,0.0062643336132168,SO,
33,1,NGC 5005,197.7344369,37.0590444,79.24913267075664,101.61346667680895,16.550076287699913,CF4,-24.65,11.172000000000002,148593564228.7015,6.444,6.313764,6.241218,,,31.765,,,,,0.0031560000497847,SBbc,
34,1,NGC 1097,41.57941,-30.27491,-64.68054398202152,226.91473425444215,15.031419660900232,CF4,-24.633000000000006,11.165200000000004,146285068699.9867,6.252,5.979577,5.8761954,,,30.885,,,,,0.004240000154823,SBb,
35,1,NGC 2655,133.9083029,78.2233042,32.68855081091609,134.92315803770745,20.634787461531964,CF4,-24.622,11.160800000000002,144810482305.13788,6.951,6.9254017,6.9245763,,,,,,,,0.0046700001694262,SO-a,
36,1,NGC 1549,63.9379394,-55.5921831,-43.801479971771705,265.4052062675074,19.098532585662387,CF4,-24.621,11.160400000000005,144677168324.77316,6.784,6.462046,6.497485,,31.484,,30.796,,,,0.0041899997740983,E,
37,1,NGC 1404,54.71638,-35.59411,-53.554722547803514,236.95475676712917,19.364219639466057,CF4,-24.615,11.158,143879857825.58496,6.82,6.5149026,6.5519204,31.27,31.534,,31.146,,,,0.0064477939158678,E,
38,1,NGC 4030,180.0984929,-1.1000504,59.21470134100052,277.370085342065,24.322040090738145,CF4,-24.6,11.152,141905752168.90955,7.33,7.101193,6.9434524,,,32.305,,,,,0.0048630000092089,Sbc,
39,1,NGC 4216,183.9765537,13.1494669,73.73786035472318,270.45476739624536,16.693260192871094,NED-LVS,-24.58870581326557,11.147482325306228,140437252798.305,6.524,6.367462,6.382226,,,,,,,,0.0004370000096969,SBb,
40,1,NGC 0936,36.9059853,-1.1559685,-55.26379056978095,168.57351911030193,19.85307884216309,NED-LVS,-24.57613933647179,11.14245573458872,138821180940.12106,6.913,6.8540945,6.877474,,,,,,,,0.0047829998657107,SO-a,
41,1,NGC 2442,114.099199,-69.5308079,-21.50174427843169,281.2994004401103,19.37313924581955,CF4,-24.567,11.138800000000002,137657538650.94214,6.869,6.734316,6.6513267,,,,,,,,0.0048900498077273,SBbc,
42,1,NGC 4526,188.512619,7.69914,70.13852338340831,290.15951164087096,16.05461886800971,CF4,-24.555,11.134,136144468246.59512,6.473,6.350515,6.368564,30.98,31.254,,,,,,0.0020580000709742,SO,
43,1,NGC 0134,7.5915242,-33.2439604,-82.37807229909504,338.3077685467064,18.749945080674173,CF4,-24.520999999999994,11.120399999999998,131947145719.51126,6.844,6.573942,6.4556513,,,31.365,,,,,0.0052769999019801,SBbc,
44,1,NGC 3166,153.440327,3.424804,45.52422274891999,238.14614587275,22.0,NED-LVS,-24.502113404111036,11.112845361644416,129671746921.24214,7.21,7.073941,7.0416813,,,,,,,,0.0039461837150156,,
45,1,MESSIER 065,169.732983,13.0923076,64.22167415709814,241.33128596182664,12.73503081016661,CF4,-24.459,11.0956,124623516048.65166,6.066,5.924371,5.925916,,,30.525,,2.0,10.3,6.1,0.002678999910131,,
46,1,NGC 4274,184.960818,29.614698,82.62082618196139,191.39723002690457,19.81527025805098,CF4,-24.453,11.0932,123936720482.06844,7.032,6.9913545,6.979201,,,31.485,,,,,0.0031020001042634,SBab,
47,1,NGC 4636,190.70761,2.6878,65.4728760461698,297.7481004961322,14.89361077710914,CF4,-24.44299999999999,11.089199999999998,122800461798.87833,6.422,6.166502,6.2149525,,30.844,,31.176,,,,0.0031290000770241,E,
48,1,NGC 5033,198.364474,36.593922,79.44786416668298,98.06019257564088,18.663796908346704,CF4,-24.398999999999997,11.0716,117923402065.30025,6.956,6.692923,6.5844994,,,31.355,,,,,0.0029120000544935,Sc,
49,1,NGC 2985,147.592625,72.27863888889,38.68283424997697,139.01346579460187,22.399999618530273,NED-LVS,-24.39124005469086,11.068496021876346,117083587745.16884,7.36,7.178537,7.1392574,,,,,,,,0.00441600009799,Sab,
50,1,MESSIER 100,185.72859,15.821635,76.89821425213528,271.1371862239813,15.653748512268066,NED-LVS,-24.384091761571742,11.0656367046287,116315262363.5948,6.589,6.282574,6.162962,,,,,,,,0.0052399998530745,SBbc,
51,1,NGC 5907:[IDD2022] X026,228.97183208333,56.32988,51.08731838729712,91.58655210073468,16.896626340487042,CF4,-24.382000000000005,11.064800000000004,116091387012.61916,6.757,6.4537177,6.3234153,31.14,,31.075,,,,,0.0022179998923093,Sc,
52,1,NGC 1566,65.0016417,-54.9379439,-43.39329177538479,264.31031900415144,17.899999618530273,NED-LVS,-24.378265108622873,11.06330604344915,115692723130.51248,6.886,6.614419,6.5017614,,,,,,,,0.005016999784857,SBbc,
53,1,NGC 7582,349.59845,-42.37042,-65.69625790496553,348.0782032622222,21.727011788637434,CF4,-24.369000000000003,11.059600000000003,114709661977.35648,7.316,6.8716493,6.318316,,,31.685,,,,,0.0054104095324873,SBab,
54,1,NGC 4856,194.8385342,-15.0419869,47.78602455105913,305.77706238642475,23.2912540435791,NED-LVS,-24.36596436185426,11.058385744741706,114389390181.22792,7.47,7.3174963,7.36022,,,,,,,,0.0045130001381039,SO-a,
55,1,NGC 3521,166.45242083333,-0.03586388889,52.82924899224688,255.531766081568,10.7,LVG,-24.36391888842605,11.05756755537042,114174089087.29031,5.783,5.491012,5.4010744,,,30.495,,4.0,9.8,5.8,0.0026650000363588,,
56,1,NGC 1574,65.49479,-56.97451,-42.58493306343218,266.893643571769,19.696996148999244,CF4,-24.363,11.057200000000002,114077501292.21252,7.109,7.0247297,7.051756,,31.484,,31.406,,,,0.0034719998948276,E-SO,
57,1,NGC 5170,202.4532754,-17.9664312,43.955300061994,315.65411076845953,24.717241450161303,CF4,-24.336999999999996,11.0468,111378150013.46634,7.628,7.393506,7.3590536,,,31.965,,,,,0.0050059999339282,Sc,
58,1,NGC 4698,192.0954797,8.4873652,71.34509063096094,300.5689994700513,23.933157564053875,CF4,-24.330999999999996,11.0444,110764349166.9742,7.564,7.408104,7.41937,,,31.895,,,,,0.0033660000190138,Sa,
59,1,ARP 244,180.47154,-18.8772,42.45284863000051,286.96288719955913,19.933481216430664,NED-LVS,-24.320915756186945,11.040366302474778,109740340270.7941,7.177,,,,,,,,,,0.0056880000047385,SBm,
60,1,NGC 3675,171.5357038,43.5860267,66.19096874955825,163.66040982299455,17.179083871575884,CF4,-24.320000000000004,11.040000000000004,109647819614.31918,6.855,6.564847,6.523089,,,31.175,,,,,0.0025679999962449,Sb,
61,1,NGC 4565,189.086546,25.98768858,86.43786242801423,230.75496403937012,11.8686138464492,CF4,-24.312,11.0368,108842873794.35974,6.06,5.711347,5.6450543,30.36,31.224,30.535,,,,,0.0042759999632835,Sb,
62,1,NGC 3953,178.4542849,52.3268,62.590275238113925,142.2173845983086,18.663796908346704,CF4,-24.307999999999996,11.0352,108442619576.70737,7.047,6.823382,6.765666,,,31.355,,,,,0.0035019998904317,SBbc,
63,1,MESSIER 089,188.9158625,12.5563419444,74.96680899889266,287.9324457004411,16.099040762157053,CF4,-24.305999999999997,11.0344,108243044760.913,6.728,6.2791166,6.3330164,,31.034,,,,,,0.0011340000201016,E,
64,1,NGC 4429,186.8605533,11.1076392,73.01476453552917,282.3800725875168,16.398344276265377,CF4,-24.290999999999997,11.0284,106757894509.9493,6.783,6.635301,6.665945,,31.074,,,,,,0.0036830001045018,SO-a,
65,1,NGC 3190:[LMD2020] B,154.5234754,21.8322254,54.845369838920966,213.03511080740392,22.212630892984244,CF4,-24.276000000000003,11.022400000000005,105293121284.34464,7.457,7.3111696,7.2877855,,,,,,,,0.0043700002133846,Sa,
66,1,NGC 4725,192.6107212,25.5007659,88.35731128428266,295.0750893439732,12.246161992650496,CF4,-24.267999999999997,11.0192,104520144145.84352,6.172,6.080727,6.0903316,,30.664,30.595,,,,,0.0040330002084374,SBab,
67,1,NGC 4414,186.6131215,31.2235261,83.18205470689949,174.53773022171305,17.458221529205048,CF4,-24.264000000000003,11.017600000000002,104135786152.84384,6.946,6.769393,6.6429996,,,31.295,,,,,0.0023616338148713,Sc,
68,1,NGC 0584,22.8363989,-6.8679497,-67.6332346698565,149.8051667618395,20.361042011319707,CF4,-24.24,11.008000000000004,101859138805.41232,7.304,7.2652006,7.2928915,,31.544,,,,,,0.0061062243767082,E,
69,1,SN 2016gkg Host,23.5759175,-29.418587,-80.29228479546778,229.0775507684714,17.812410354614258,NED-LVS,-24.2226134583154,11.00104538332616,100240998341.59895,7.031,6.7654448,6.647256,,,,,,,,0.0049400841817259,SBbc,
70,1,NGC 1371,53.7556074,-24.9332162,-53.34700649102404,218.95427589371212,23.366840816727315,CF4,-24.212999999999997,10.9972,99357350058.68433,7.63,7.5416155,7.554678,,,32.205,,,,,0.0048799999058246,SBa,
71,1,NGC 5792,224.5945605,-1.091196029,48.42643241795055,355.35296503365373,24.266100950824168,CF4,-24.211999999999996,10.9968,99265880687.10316,7.713,7.5040765,7.463807,,,31.925,,,,,0.0064240000210702,SBb,
72,1,MESSIER 059,190.5093968,11.6469518,74.36210484327466,294.3636119305879,15.4170045294956,CF4,-24.194000000000003,10.989600000000005,97633756658.26486,6.746,6.5882516,6.633,,30.934,,31.266,,,,0.0015579999890178,E,
73,1,MESSIER 061,185.4788355,4.4737864,66.27584575825675,284.3708300092785,16.07234764099121,NED-LVS,-24.187396587631813,10.986958635052726,97041753415.33804,6.843,6.5030756,6.359816,,,,,,,,0.0052236136980354,SBbc,
74,1,MESSIER 066,170.0625441,12.9916144,64.41865948477363,241.96080026503057,10.313355783043844,CF4,-24.186,10.9864,96917008394.72945,5.881,5.5835557,5.4829087,30.21,,29.685,,4.0,9.7,5.9,0.0024079999420791,,
75,1,NGC 1344,52.0817583,-31.0681493,-55.67824804027458,229.0685266168843,20.66331517564483,CF4,-24.177,10.9828,96116954151.59332,7.399,7.178041,7.2064404,,31.594,,30.676,,,,0.004139999859035,E,
76,1,NGC 4494,187.85043291667,25.77525194444,85.31614512012729,228.59354964878528,17.171174432444527,CF4,-24.176,10.9824,96028467920.93816,6.998,6.774919,6.812253,,31.174,,,,,,0.0044760000891983,E,
77,1,MESSIER 063,198.9553691,42.0293247,74.28760880970877,105.99752417515133,9.04,LVG,-24.17284215237682,10.981136860950729,95749576321.11037,5.608,5.279163,5.2081323,29.73,,29.645,,4.0,9.3,5.6,0.0016680000117048,,
78,1,NGC 4036,180.361555,61.895783,54.24645434901442,132.9797627925881,22.11057312450639,CF4,-24.161,10.9764,94710907947.01604,7.562,7.402703,7.429451,,31.727,,,,,,0.0046199997887015,E-SO,
79,1,NGC 1291,49.3272962,-41.107977,-57.042609787571585,247.523896527681,9.08,LVG,-24.132429242605426,10.964971697042172,92251130516.2751,5.658,5.3566628,5.3763924,29.74,,,,1.0,9.4,5.7,0.0027989998925477,,
80,1,NGC 1537,63.419442,-31.6452067,-46.10019559958974,231.45962315508692,23.48551024058882,CF4,-24.125,10.962000000000002,91622049012.2003,7.729,7.5218964,7.5512934,,31.854,,,,,,0.0047670002095401,E-SO,
81,1,NGC 1400,54.8784869,-18.6881807,-50.57325481902767,209.70657935361072,24.366884234595855,CF4,-24.123,10.9612,91453430312.046,7.811,7.5766907,7.6258183,,31.934,,,-3.0,11.9,7.8,0.0019680282566696,,
82,1,NGC 3079,150.4913619,55.67970172,48.36009757675268,157.81006010986678,18.836490894898,CF4,-24.113,10.9572,90614980223.1998,7.262,6.8549657,6.635534,,,31.375,,,,,0.0036889999173581,SBcd,
83,1,MESSIER 051a,202.469625833333,47.1952073611111,68.56073431125408,104.85144173208428,8.340651974086636,CF4,-24.11,10.956,90364947372.23042,5.496,4.9111376,4.8019648,29.61,,,,,,,0.001744540175423,,
84,1,NGC 4697,192.1495343,-5.8006418,57.06394229603274,301.6327763153962,12.439416235583076,CF4,-24.107000000000003,10.954800000000002,90115604433.97092,6.367,6.092176,6.1711836,,30.474,,,,,,0.004139999859035,E,
85,1,NGC 5084,200.0701444,-21.82733777,40.54988160725594,311.752876053729,16.873298906258032,CF4,-24.077999999999996,10.9432,87740478795.67517,7.058,6.7570963,6.7447233,,,,31.136,,,,0.005741000175476,SO,
86,1,NGC 1232,47.439301,-20.579012,-57.809189150124155,208.7723960431623,19.54468536376953,NED-LVS,-24.07414341710596,10.941657366842383,87429373601.31383,7.381,7.055035,6.988986,,,,,,,,0.0053469999693334,SBc,
87,1,NGC 0253,11.8880416666667,-25.2880833333333,-87.96389171492986,97.37203606887392,3.7,LVG,-24.069008620334976,10.939603448133992,87016868093.49123,3.772,3.4677956,3.2814667,27.79,,27.655,,5.0,7.9,3.8,0.000806999974884,,
88,1,NGC 3665,171.1817743,38.7628324,68.49321114142715,174.71217104526198,22.293502807617188,NED-LVS,-24.05889155606244,10.935556622424976,86209796994.64003,7.682,7.290354,7.3216276,,,,,,,,0.0069010001607239,SO,
89,1,NGC 3115,151.308242,-7.718581,36.78096154140392,247.78246032836833,9.68,LVG,-24.04637678654197,10.930550714616787,85221802309.0437,5.883,5.6506696,5.702002,,29.914,,,-1.0,9.9,5.9,0.0022869154345244,,
90,1,NGC 1350,52.7836417,-33.6283222,-55.16794298832888,233.61189524217696,19.453600816226633,CF4,-24.046,10.9304,85192232642.85483,7.399,7.0875053,7.1100054,,,31.445,,,,,0.0063539999537169,SBab,
91,1,NGC 3628,170.070611,13.589412,64.78056067156444,240.85135655425933,10.52,LVG,-24.03607869908861,10.926431479635443,84417304286.92819,6.074,5.7811484,5.637206,,,30.135,,4.0,10.3,6.1,0.002822000067681,,
92,1,NGC 4450,187.1233121,17.0850307,78.64225800791971,273.9114778623471,16.474035594357524,CF4,-24.036,10.9264,84411185559.27705,7.048,6.8818235,6.878971,,31.104,30.945,,,,,0.0065250000916421,Sab,
93,1,NGC 3945,178.3067743,60.675646,55.02925414485357,135.33020394541808,20.46373176574707,NED-LVS,-24.028924172659952,10.923569669063982,83862859974.95244,7.526,7.430277,7.473694,,,,,,,,0.0042730001732707,SO-a,
94,1,NGC 4589,189.3542191,74.1919357,42.90082996912902,124.23476634074125,22.740499508958955,CF4,-24.026,10.9224,83637299158.40286,7.758,7.646173,7.6892347,,31.784,,,,,,0.0066045690327882,E,
95,1,NGC 1964,83.3402407,-21.9455406,-26.502132518748503,225.27459483042017,21.928049353504473,CF4,-24.025999999999996,10.9224,83637299158.40253,7.679,7.430639,7.3370743,,,31.705,,,,,0.0055399998091161,SBb,
96,1,NGC 1543,63.1798853,-57.7378825,-43.54434414857163,268.4063016486481,19.67886289706844,CF4,-24.022,10.9208,83329734863.43164,7.448,7.2126946,7.2754326,,31.494,,30.956,,,,0.0039220000617206,SO,
97,1,MESSIER 081,148.8882210375,69.0652946122222,40.90005688963208,142.09182248538875,3.7,LVG,-24.010008620334975,10.916003448133992,82414465838.40285,3.831,3.621141,3.622977,,,,,3.0,7.8,3.8,-0.0001300000003539,,
98,1,NGC 1387,54.2376412,-35.506532,-53.946435051602464,236.824363711903,19.355304139797447,CF4,-24.009000000000004,10.915600000000005,82337940521.01404,7.425,7.262604,7.295611,,31.434,,,,,,0.0043450058437883,E-SO,
99,1,NGC 1052,40.2699937491667,-8.25576443111111,-57.925472987121424,182.01946760601624,19.534396563982572,CF4,-24.003,10.913200000000002,81884179190.0515,7.451,7.285737,7.2461762,,31.454,,,,,,0.0052036000415682,E,
100,1,NGC 5866,226.62291166667,55.76321333333,52.48923509335129,92.03403340153552,14.95546772744395,CF4,-24.00099999999999,10.912399999999998,81733481797.80676,6.873,6.650898,6.6257434,,30.874,,,,,,0.0025180000811815,SO-a,
101,1,NGC 0908,35.7689255,-21.2337835,-68.3224690005394,202.1389471282791,17.57923613958694,CF4,-23.996,10.910400000000005,81357950560.54015,7.229,6.988526,6.8578815,,,31.225,,,,,0.0050191390328109,SBc,
102,1,NGC 4568,189.1429322,11.239027,73.7310002774424,289.814783864261,19.88592529296875,NED-LVS,-23.976729017666393,10.902691607066558,79926649353.34904,7.516,7.114367,6.9857144,,,,,,,,0.0074460348114371,,
103,1,NGC 0821,32.0881268,10.9949703,-47.55669126165303,151.55545244350398,23.593914430440503,CF4,-23.96400000000001,10.897600000000004,78995072133.5824,7.9,7.7405753,7.7650247,,31.864,,,,,,0.0057870000600814,E,
104,1,NGC 1533,62.4659427,-56.1184525,-44.43303578510679,266.44820947660673,20.768254637773875,CF4,-23.962000000000003,10.896800000000002,78849691774.5382,7.625,7.564525,7.5974503,,31.594,,31.536,0.0,11.8,7.6,0.0026350000407546,,
105,1,MESSIER 106,184.7396025,47.30397305556,68.84204477672394,138.32028811447267,7.66,LVG,-23.95714384816302,10.89485753926521,78497809760.53622,5.464,5.246589,5.215584,29.4,29.234,29.345,,4.0,9.1,5.5,0.0015377304516732,,
106,1,NGC 6744,287.4424108,-63.857498,-26.146596707347182,332.22407750412424,9.51,LVG,-23.95590258468707,10.89436103387483,78408118739.76108,5.935,5.3951406,5.3527837,29.81,,29.515,,4.0,9.1,5.9,0.0028049999382346,,
107,1,MESSIER 105,161.9566882,12.581599,57.63280206818449,233.4902056786836,11.050959823315376,CF4,-23.947,10.8908,77767833445.57065,6.27,6.0834827,6.1436186,30.22,30.164,,,-3.0,10.2,6.3,0.0030260933563113,,
108,1,MESSIER 091,188.8602284,14.4963721,76.8296832100701,285.69322805327204,16.18825362642106,CF4,-23.930999999999997,10.8844,76630207227.39183,7.115,6.9353857,6.8999696,,31.354,31.245,,,,,0.0016210000030696,SBb,
109,1,NGC 4666,191.2859771,-0.4620251,62.368236085265615,299.53775612279685,15.595525028269538,CF4,-23.910000000000004,10.876000000000005,75162289401.82106,7.055,6.7232656,6.5351844,,,30.965,,,,,0.0050470000132918,SBc,
110,1,NGC 4984,197.2386174,-15.5162961,47.14413655586325,309.1418157570132,21.299999237060547,NED-LVS,-23.897897939414257,10.871159175765705,74329151602.21698,7.744,7.441984,7.3550644,,,,,,,,0.0042659998871386,SO-a,
111,1,NGC 0988,38.865599,-9.356091,-59.6962825168827,181.95875706334735,15.100801541641475,CF4,-23.894999999999996,10.87,74131024130.09161,7.0,6.996151,6.8112807,,,30.895,,,,,0.0050369999371469,SBc,
112,1,NGC 2775,137.5838853,7.0380902,33.98770109767732,223.265641664064,15.28347396850586,NED-LVS,-23.884110407936262,10.865644163174506,73391229468.9341,7.037,6.7019,6.7372465,,,,,,,,0.004499779548496,Sab,
113,1,NGC 4477,187.5092412,13.636532,75.6120762832442,281.5446866719109,17.490410399663027,CF4,-23.862,10.8568,71911773578.2509,7.352,7.112524,7.1661077,,31.204,,31.476,,,,0.0044630002230405,SO,
114,1,NGC 4473,187.4536659,13.4294195,75.39879698909915,281.6169393494604,15.929421351276272,CF4,-23.853999999999996,10.8536,71383855360.16632,7.157,6.9953575,7.033507,,31.014,,30.846,,,,0.0074849999509751,E,
115,1,NGC 4762,193.233266,11.230983,74.09884533828298,304.27020785471865,16.93557708691517,CF4,-23.845,10.85,70794578438.41402,7.299,7.0946536,7.11217,,31.144,,,,,,0.0032889998983591,,
116,1,IC 5267,344.3061783,-43.3958865,-61.80067617877346,350.2376607467911,18.16351931176511,CF4,-23.842,10.8488,70599235789.36682,7.454,7.122487,7.1348686,,,,31.296,,,,0.0057109999470412,SO-a,
117,1,NGC 4665,191.2749587,3.0557959,65.87985299032839,299.0575454302861,17.899999618530273,NED-LVS,-23.83826510862287,10.84730604344915,70356794328.91238,7.426,7.1567397,7.1867023,,,,,,,,0.0030420001130551,SO-a,
118,1,NGC 4459,187.2501611,13.9785776,75.84638157878645,280.1080715390078,15.73258185446469,CF4,-23.832,10.8448,69951978105.12149,7.152,6.9318047,6.988591,,30.984,,,,,,0.0039760000072419,SO-a,
119,1,MESSIER 083,204.25395833333,-29.865416666669997,31.973013804615363,314.5837901528976,4.9,LVG,-23.83198040014257,10.844792160057027,69950715333.90991,4.619,4.255099,4.1309257,28.4,,,,5.0,8.2,4.6,0.0017109999898821,,
120,1,MESSIER 077,40.6696,-0.0132865,-51.93380021991082,172.1036738185773,8.381170272827148,NED-LVS,-23.828523319610937,10.843409327844377,69728340260.80914,5.788,5.201959,4.1434016,,,,,,,,0.0037930000107735,Sb,
