rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,has_ls_dr10
59,1,ARP 244,180.47154,-18.8772,42.45284863000051,286.96288719955913,19.933481216430664,NED-LVS,-24.320915756186945,11.040366302474778,109740340270.7941,7.177,,,,,,,,,,0.0056880000047385,True
60,1,NGC 3675,171.5357038,43.5860267,66.19096874955825,163.66040982299455,17.179083871575884,CF4,-24.320000000000004,11.040000000000004,109647819614.31918,6.855,6.564847,6.523089,,,31.175,,,,,0.0025679999962449,True
61,1,NGC 4565,189.086546,25.98768858,86.43786242801423,230.75496403937012,11.8686138464492,CF4,-24.312,11.0368,108842873794.35974,6.06,5.711347,5.6450543,30.36,31.224,30.535,,,,,0.0042759999632835,True
62,1,NGC 3953,178.4542849,52.3268,62.590275238113925,142.2173845983086,18.663796908346704,CF4,-24.307999999999996,11.0352,108442619576.70737,7.047,6.823382,6.765666,,,31.355,,,,,0.0035019998904317,True
63,1,MESSIER 089,188.9158625,12.5563419444,74.96680899889266,287.9324457004411,16.099040762157053,CF4,-24.305999999999997,11.0344,108243044760.913,6.728,6.2791166,6.3330164,,31.034,,,,,,0.0011340000201016,True
64,1,NGC 4429,186.8605533,11.1076392,73.01476453552917,282.3800725875168,16.398344276265377,CF4,-24.290999999999997,11.0284,106757894509.9493,6.783,6.635301,6.665945,,31.074,,,,,,0.0036830001045018,True
65,1,NGC 3190:[LMD2020] B,154.5234754,21.8322254,54.845369838920966,213.03511080740392,22.212630892984244,CF4,-24.276000000000003,11.022400000000005,105293121284.34464,7.457,7.3111696,7.2877855,,,,,,,,0.0043700002133846,True
66,1,NGC 4725,192.6107212,25.5007659,88.35731128428266,295.0750893439732,12.246161992650496,CF4,-24.267999999999997,11.0192,104520144145.84352,6.172,6.080727,6.0903316,,30.664,30.595,,,,,0.0040330002084374,True
67,1,NGC 4414,186.6131215,31.2235261,83.18205470689949,174.53773022171305,17.458221529205048,CF4,-24.264000000000003,11.017600000000002,104135786152.84384,6.946,6.769393,6.6429996,,,31.295,,,,,0.0023616338148713,True
68,1,NGC 0584,22.8363989,-6.8679497,-67.6332346698565,149.8051667618395,20.361042011319707,CF4,-24.24,11.008000000000004,101859138805.41232,7.304,7.2652006,7.2928915,,31.544,,,,,,0.0061062243767082,True
69,1,SN 2016gkg Host,23.5759175,-29.418587,-80.29228479546778,229.0775507684714,17.812410354614258,NED-LVS,-24.2226134583154,11.00104538332616,100240998341.59895,7.031,6.7654448,6.647256,,,,,,,,0.0049400841817259,True
70,1,NGC 1371,53.7556074,-24.9332162,-53.34700649102404,218.95427589371212,23.366840816727315,CF4,-24.212999999999997,10.9972,99357350058.68433,7.63,7.5416155,7.554678,,,32.205,,,,,0.0048799999058246,True
71,1,NGC 5792,224.5945605,-1.091196029,48.42643241795055,355.35296503365373,24.266100950824168,CF4,-24.211999999999996,10.9968,99265880687.10316,7.713,7.5040765,7.463807,,,31.925,,,,,0.0064240000210702,True
72,1,MESSIER 059,190.5093968,11.6469518,74.36210484327466,294.3636119305879,15.4170045294956,CF4,-24.194000000000003,10.989600000000005,97633756658.26486,6.746,6.5882516,6.633,,30.934,,31.266,,,,0.0015579999890178,True
73,1,MESSIER 061,185.4788355,4.4737864,66.27584575825675,284.3708300092785,16.07234764099121,NED-LVS,-24.187396587631813,10.986958635052726,97041753415.33804,6.843,6.5030756,6.359816,,,,,,,,0.0052236136980354,True
74,1,MESSIER 066,170.0625441,12.9916144,64.41865948477363,241.96080026503057,10.313355783043844,CF4,-24.186,10.9864,96917008394.72945,5.881,5.5835557,5.4829087,30.21,,29.685,,4.0,9.7,5.9,0.0024079999420791,True
75,1,NGC 1344,52.0817583,-31.0681493,-55.67824804027458,229.0685266168843,20.66331517564483,CF4,-24.177,10.9828,96116954151.59332,7.399,7.178041,7.2064404,,31.594,,30.676,,,,0.004139999859035,True
76,1,NGC 4494,187.85043291667,25.77525194444,85.31614512012729,228.59354964878528,17.171174432444527,CF4,-24.176,10.9824,96028467920.93816,6.998,6.774919,6.812253,,31.174,,,,,,0.0044760000891983,True
77,1,MESSIER 063,198.9553691,42.0293247,74.28760880970877,105.99752417515133,9.04,LVG,-24.17284215237682,10.981136860950729,95749576321.11037,5.608,5.279163,5.2081323,29.73,,29.645,,4.0,9.3,5.6,0.0016680000117048,True
78,1,NGC 4036,180.361555,61.895783,54.24645434901442,132.9797627925881,22.11057312450639,CF4,-24.161,10.9764,94710907947.01604,7.562,7.402703,7.429451,,31.727,,,,,,0.0046199997887015,True
79,1,NGC 1291,49.3272962,-41.107977,-57.042609787571585,247.523896527681,9.08,LVG,-24.132429242605426,10.964971697042172,92251130516.2751,5.658,5.3566628,5.3763924,29.74,,,,1.0,9.4,5.7,0.0027989998925477,True
80,1,NGC 1537,63.419442,-31.6452067,-46.10019559958974,231.45962315508692,23.48551024058882,CF4,-24.125,10.962000000000002,91622049012.2003,7.729,7.5218964,7.5512934,,31.854,,,,,,0.0047670002095401,True
81,1,NGC 1400,54.8784869,-18.6881807,-50.57325481902767,209.70657935361072,24.366884234595855,CF4,-24.123,10.9612,91453430312.046,7.811,7.5766907,7.6258183,,31.934,,,-3.0,11.9,7.8,0.0019680282566696,True
82,1,NGC 3079,150.4913619,55.67970172,48.36009757675268,157.81006010986678,18.836490894898,CF4,-24.113,10.9572,90614980223.1998,7.262,6.8549657,6.635534,,,31.375,,,,,0.0036889999173581,True
83,1,MESSIER 051a,202.469625833333,47.1952073611111,68.56073431125408,104.85144173208428,8.340651974086636,CF4,-24.11,10.956,90364947372.23042,5.496,4.9111376,4.8019648,29.61,,,,,,,0.001744540175423,True
84,1,NGC 4697,192.1495343,-5.8006418,57.06394229603274,301.6327763153962,12.439416235583076,CF4,-24.107000000000003,10.954800000000002,90115604433.97092,6.367,6.092176,6.1711836,,30.474,,,,,,0.004139999859035,True
85,1,NGC 5084,200.0701444,-21.82733777,40.54988160725594,311.752876053729,16.873298906258032,CF4,-24.077999999999996,10.9432,87740478795.67517,7.058,6.7570963,6.7447233,,,,31.136,,,,0.005741000175476,True
86,1,NGC 1232,47.439301,-20.579012,-57.809189150124155,208.7723960431623,19.54468536376953,NED-LVS,-24.07414341710596,10.941657366842383,87429373601.31383,7.381,7.055035,6.988986,,,,,,,,0.0053469999693334,True
87,1,NGC 0253,11.8880416666667,-25.2880833333333,-87.96389171492986,97.37203606887392,3.7,LVG,-24.069008620334976,10.939603448133992,87016868093.49123,3.772,3.4677956,3.2814667,27.79,,27.655,,5.0,7.9,3.8,0.000806999974884,True
88,1,NGC 3665,171.1817743,38.7628324,68.49321114142715,174.71217104526198,22.293502807617188,NED-LVS,-24.05889155606244,10.935556622424976,86209796994.64003,7.682,7.290354,7.3216276,,,,,,,,0.0069010001607239,True
89,1,NGC 3115,151.308242,-7.718581,36.78096154140392,247.78246032836833,9.68,LVG,-24.04637678654197,10.930550714616787,85221802309.0437,5.883,5.6506696,5.702002,,29.914,,,-1.0,9.9,5.9,0.0022869154345244,True
90,1,NGC 1350,52.7836417,-33.6283222,-55.16794298832888,233.61189524217696,19.453600816226633,CF4,-24.046,10.9304,85192232642.85483,7.399,7.0875053,7.1100054,,,31.445,,,,,0.0063539999537169,True
91,1,NGC 3628,170.070611,13.589412,64.78056067156444,240.85135655425933,10.52,LVG,-24.03607869908861,10.926431479635443,84417304286.92819,6.074,5.7811484,5.637206,,,30.135,,4.0,10.3,6.1,0.002822000067681,True
92,1,NGC 4450,187.1233121,17.0850307,78.64225800791971,273.9114778623471,16.474035594357524,CF4,-24.036,10.9264,84411185559.27705,7.048,6.8818235,6.878971,,31.104,30.945,,,,,0.0065250000916421,True
93,1,NGC 3945,178.3067743,60.675646,55.02925414485357,135.33020394541808,20.46373176574707,NED-LVS,-24.028924172659952,10.923569669063982,83862859974.95244,7.526,7.430277,7.473694,,,,,,,,0.0042730001732707,True
94,1,NGC 4589,189.3542191,74.1919357,42.90082996912902,124.23476634074125,22.740499508958955,CF4,-24.026,10.9224,83637299158.40286,7.758,7.646173,7.6892347,,31.784,,,,,,0.0066045690327882,True
95,1,NGC 1964,83.3402407,-21.9455406,-26.502132518748503,225.27459483042017,21.928049353504473,CF4,-24.025999999999996,10.9224,83637299158.40253,7.679,7.430639,7.3370743,,,31.705,,,,,0.0055399998091161,True
96,1,NGC 1543,63.1798853,-57.7378825,-43.54434414857163,268.4063016486481,19.67886289706844,CF4,-24.022,10.9208,83329734863.43164,7.448,7.2126946,7.2754326,,31.494,,30.956,,,,0.0039220000617206,True
97,1,MESSIER 081,148.8882210375,69.0652946122222,40.90005688963208,142.09182248538875,3.7,LVG,-24.010008620334975,10.916003448133992,82414465838.40285,3.831,3.621141,3.622977,,,,,3.0,7.8,3.8,-0.0001300000003539,True
98,1,NGC 1387,54.2376412,-35.506532,-53.946435051602464,236.824363711903,19.355304139797447,CF4,-24.009000000000004,10.915600000000005,82337940521.01404,7.425,7.262604,7.295611,,31.434,,,,,,0.0043450058437883,True
99,1,NGC 1052,40.2699937491667,-8.25576443111111,-57.925472987121424,182.01946760601624,19.534396563982572,CF4,-24.003,10.913200000000002,81884179190.0515,7.451,7.285737,7.2461762,,31.454,,,,,,0.0052036000415682,True
100,1,NGC 5866,226.62291166667,55.76321333333,52.48923509335129,92.03403340153552,14.95546772744395,CF4,-24.00099999999999,10.912399999999998,81733481797.80676,6.873,6.650898,6.6257434,,30.874,,,,,,0.0025180000811815,True
