 57 NGVS J123025.75+122621.1 187.6073036 12.4391949 0.022 20.461|0.001 1.079|0.005 0.516|0.002 0.756|0.003 0.883|0.004 0.727|0.005  0.004 1
 58 NGVS J123026.56+122044.6 187.6106637 12.3457239 0.023 20.376|0.001 1.089|0.005 0.593|0.002 0.750|0.003 0.875|0.004 0.699|0.004 -0.019 1
 59 NGVS J123026.89+122331.1 187.6120793 12.3919745 0.022 19.928|0.001 1.155|0.004 0.596|0.002 0.801|0.002 0.940|0.003 0.854|0.003  0.012 1
 60 NGVS J123029.91+123822.2 187.6246350 12.6394879 0.021 20.466|0.002 0.927|0.005 0.466|0.002 0.680|0.003 0.766|0.005 0.464|0.013  0.023 1
 61 NGVS J123030.86+121841.7 187.6285824 12.3115772 0.023 19.735|0.001 1.131|0.003 0.556|0.002 0.794|0.002 0.962|0.002 0.834|0.003  0.077 1
 62 NGVS J123031.44+125156.6 187.6310053 12.8657287 0.021 20.133|0.001 1.347|0.005 0.644|0.002 0.956|0.002 1.148|0.003 1.303|0.004  0.102 1
 63 NGVS J123031.53+122602.6 187.6313759 12.4340546 0.022 20.296|0.001 0.987|0.004 0.570|0.002 0.717|0.003 0.835|0.004 0.521|0.005  0.003 1
 64 NGVS J123033.43+122954.3 187.6392871 12.4984422 0.021 19.236|0.001 1.120|0.003 0.543|0.001 0.793|0.002 0.932|0.002 0.825|0.003  0.141 1
 65 NGVS J123034.12+122246.5 187.6421756 12.3795711 0.022 21.333|0.003 1.043|0.009 0.517|0.004 0.741|0.006 0.869|0.008 0.605|0.011 -0.017 1
 66 NGVS J123035.02+123452.7 187.6459060 12.5813054 0.021 20.506|0.002 1.035|0.006 0.513|0.003 0.754|0.004 0.876|0.005 0.708|0.012  0.140 1
 67 NGVS J123036.52+122152.8 187.6521566 12.3646753 0.023 20.549|0.002 1.081|0.007 0.554|0.003 0.760|0.004 0.922|0.005 0.676|0.005 -0.003 1
 68 NGVS J123039.16+122132.5 187.6631525 12.3590152 0.023 20.717|0.002 1.016|0.007 0.603|0.004 0.796|0.004 0.988|0.006 0.745|0.007  0.035 1
 69 NGVS J123041.81+122341.2 187.6742275 12.3947905 0.023 21.180|0.003 1.000|0.009 0.489|0.005 0.751|0.006 0.868|0.008 0.604|0.010  0.001 1
 70 NGVS J123043.25+122212.4 187.6802149 12.3701094 0.023 21.207|0.003 1.068|0.010 0.479|0.005 0.789|0.006 0.935|0.008 0.756|0.009  0.009 1
 71 NGVS J123045.34+122033.5 187.6889027 12.3426310 0.024 20.679|0.002 1.020|0.007 0.528|0.004 0.773|0.004 0.919|0.006 0.672|0.007  0.022 1
 72 NGVS J123045.95+113752.5 187.6914326 11.6312694 0.040 21.157|0.002 1.010|0.009 0.420|0.004 0.717|0.005 0.850|0.008 1.169|0.010  0.150 0
 73 NGVS J123046.50+122017.7 187.6937513 12.3382606 0.024 20.786|0.002 1.014|0.007 0.527|0.004 0.770|0.004 0.921|0.006 0.698|0.008  0.034 1
 74 NGVS J123047.40+123301.7 187.6974884 12.5504714 0.021 19.463|0.001 1.204|0.003 0.606|0.001 0.907|0.002 1.082|0.002 1.123|0.003  0.067 1
