192 03 38 00.18 -35 30 08.2 [SRH2010] 92 74                843  10  2
193 03 38 00.50 -35 26 48.8 [SRH2010] 82 13               2025  55  1
194 03 38 00.92 -35 26 24.4 [SRH2010] 82 14               1113  24  1
195 03 38 00.95 -35 24 34.3 [SRH2010] GS04-M05 12         1527  12  1
196 03 38 01.05 -35 30 25.0 [SRH2010] 91 66               1889  36  2
197 03 38 01.09 -35 36 04.3 [SRH2010] 5 105               1624  58  1
198 03 38 01.21 -35 28 01.4 [SRH2010] 91 111              2395  34  2
199 03 38 01.73 -35 37 38.3 [SRH2010] 5 76                1329  65  1
200 03 38 01.87 -35 37 01.6 [SRH2010] 5 87                 877  49  1
201 03 38 02.14 -35 25 57.0 [SRH2010] 81 17               1119  54  1
202 03 38 02.20 -35 38 59.2 [SRH2010] 5 54                1358  45  1
203 03 38 02.25 -35 34 23.2 [DRG2004] 91:1                1008  74  2
204 03 38 02.34 -35 26 10.1 [SRH2010] 81 13               1868  35  1
205 03 38 02.41 -35 30 36.1 [SRH2010] 91 63                789  37  2
206 03 38 02.48 -35 41 18.6 [SRH2010] 5 9                  933  52  1
207 03 38 02.53 -35 25 03.5 [SRH2010] 81 32               1368  44  1
208 03 38 02.82 -35 29 25.8 [SRH2010] 91 85               1517  38  2
209 03 38 02.85 -35 24 57.7 [SRH2010] 81 34               1230  34  2
210 03 38 03.01 -35 26 28.7 [SRH2010] 81 8                1783  29  1
211 03 38 03.14 -35 28 25.9 [SRH2010] 91 102              1345  19  1
212 03 38 03.18 -35 22 07.7 [SRH2010] 81 78               1386  46  1
213 03 38 03.19 -35 26 44.2 [DRG2004] 81:3                1797  82  2
214 03 38 03.23 -35 28 59.5 [DRG2004] 92:65               1268  47  2
215 03 38 03.60 -35 26 05.5 [SRH2010] 81 14               1369  32  1
216 03 38 03.92 -35 29 19.1 [SRH2010] 91 87               1410  50  1
217 03 38 04.24 -35 31 39.6 [SRH2010] 91 44               1973  53  1
218 03 38 04.25 -35 37 56.5 [SRH2010] 5 71                 850  45  1
219 03 38 04.30 -35 29 00.9 [SRH2010] 91 92               1435  31  1
220 03 38 04.32 -35 27 46.8 [SRH2010] 91 115              1563  29  1
221 03 38 04.44 -35 28 11.4 [SRH2010] 91 109              1648  13  1
222 03 38 04.54 -35 30 58.8 [SRH2010] 91 55               1291  28  1
223 03 38 04.66 -35 30 08.1 [SRH2010] 91 71               1544  20  1
224 03 38 04.69 -35 23 25.2 [SRH2010] 81 57               1376  43  1
225 03 38 04.79 -35 22 55.6 [SRH2010] 81 64               1433  46  1
226 03 38 04.88 -35 19 21.6 [SRH2010] GS04-M01 135         743  37  1
227 03 38 04.90 -35 31 09.9 [SRH2010] 91 52               1599  25  1
228 03 38 05.05 -35 24 09.3 [GDE2009] UCD 19              1219   7  8
229 03 38 05.18 -35 25 19.6 [SRH2010] 81 27               1686  36  1
230 03 38 05.32 -35 29 32.2 [SRH2010] 92 58               1033  37  2
231 03 38 05.61 -35 26 45.7 [SRH2010] 82 29               1511  34  1
232 03 38 05.75 -35 26 48.3 [SRH2010] 81 2                1380  27  1
233 03 38 05.93 -35 35 20.3 [SRH2010] 5 118               1514  44  1
234 03 38 06.20 -35 33 21.6 [SRH2010] 91 15               1692  85  1
235 03 38 06.29 -35 22 48.3 [SRH2010] 81 66               1736  47  1
236 03 38 06.30 -35 28 58.6 [SRH2010] 91 93               1234   5  3
237 03 38 06.50 -35 23 03.7 [GDE2009] UCD 21              1510  64  5
238 03 38 06.50 -35 31 01.5 [SRH2010] 90 52               1098  23  2
239 03 38 06.53 -35 28 16.0 [DRG2004] 91:106              2626  42  2
240 03 38 06.67 -35 29 32.2 [SRH2010] 92 55               1643  42  1
241 03 38 06.70 -35 26 46.3 [SRH2010] 82 31               1991  38  1
242 03 38 07.02 -35 22 22.1 [SRH2010] 81 74               1388  41  1
243 03 38 07.03 -35 26 39.4 [SRH2010] 81 5                 858  47  2
244 03 38 07.05 -35 29 31.2 [SRH2010] 92 54               1907  37  2
245 03 38 07.06 -35 24 28.6 [SRH2010] 81 41               1270  21  1
246 03 38 07.30 -35 25 48.4 [SRH2010] 81 20               1613  17  1
247 03 38 07.48 -35 33 38.9 [SRH2010] 91 11               1106  43  2
248 03 38 07.63 -35 20 49.7 [SRH2010] 81 98               1534  48  2
249 03 38 07.67 -35 18 01.0 [SRH2010] GS04-M02 157        2172  37  1
