381 20.467 0.003 1 0.851 0.851   0.407   0.069   0.222   0.058  0 14  5
384 21.306 0.006 1 0.830 0.830   0.314   0.085   0.210   0.061  0  0  5
390 20.389 0.004 1 0.906 0.906   0.705   0.075   0.331   0.053 30 30  5
391 20.627 0.003 1 0.886 0.886   0.442   0.068   0.092   0.051  0  0  5
392 21.181 0.006 1 0.842 0.842   0.363   0.068   0.220   0.049  0  0  5
394 20.650 0.004 1 0.906 0.906   0.396   0.079   0.205   0.056  0  0  5
399 20.249 0.002 1 0.797 0.797   0.451   0.037   0.012   0.034 10 10  5
403 20.935 0.005 1 0.874 0.874   0.491   0.101   0.123   0.076  0  0  5
407 20.891 0.006 1 0.867 0.867   0.644   0.058   0.378   0.032  0  0  5
408 21.340 0.007 1 0.863 0.863   0.459   0.139   0.149   0.097  0  0  5
409 20.695 0.006 1 0.919 0.919   0.771   0.106   0.204   0.065  0  0  5
413 21.209 0.007 1 0.849 0.849   0.500   0.112   0.104   0.071  0  0  5
416 21.132 0.006 1 0.905 0.905   0.471   0.126   0.027   0.089  0  0  5
424 21.434 0.007 1 0.911 0.911   0.438   0.098   0.186   0.065  0  0  5
427 20.795 0.005 1 0.979 0.979   0.510   0.132   0.266   0.079  0  0  5
436 20.950 0.010 1 0.920 0.920   0.526   0.110   0.096   0.068  0  0  5
438 20.795 0.005 1 0.867 0.867   0.469   0.090   0.066   0.066  0  0  5
441 20.650 0.005 1 0.842 0.842   0.648   0.085   0.170   0.070  0  0  1
448 19.853 0.002 1 0.928 0.928   0.540   0.039   0.390   0.032 30 30  5
449 20.787 0.006 1 0.945 0.945   0.573   0.112   0.199   0.070  0  0  5
452 19.728 0.002 1 0.633 0.633   0.410   0.012   0.281   0.009 14 14  5
457 21.279 0.006 1 0.912 0.912   0.418   0.089   0.221   0.053  0  0  5
460 19.540 0.002 1 0.780 0.780   0.639   0.025   0.208   0.023 30 24  1
470 20.255 0.003 1 0.948 0.948   0.763   0.087   0.182   0.067 30 30  5
473 19.818 0.002 1 0.848 0.848   0.658   0.039   0.171   0.032 30 30  5
474 21.022 0.006 1 0.851 0.851   0.652   0.094   0.251   0.058  0  0  1
476 20.162 0.003 1 0.961 0.961   0.785   0.112   0.153   0.082 30 30  5
479 20.963 0.005 1 0.951 0.951   0.402   0.120   0.210   0.086  0  0  5
481 20.956 0.005 1 0.916 0.916   0.540   0.103   0.380   0.064  0  0  5
483 20.964 0.005 1 0.919 0.919   0.379   0.103   0.245   0.069  0  0  5
487 20.673 0.004 1 0.836 0.836   0.418   0.066   0.055   0.056  0  0  5
488 21.193 0.007 1 0.950 0.950   0.389   0.098   0.143   0.064  0  0  5
489 20.456 0.004 1 0.944 0.944   0.641   0.074   0.131   0.054 30 30  5
492 20.900 0.008 1 0.904 0.904   0.730   0.072   0.178   0.039  0  0  5
493 21.353 0.009 1 0.879 0.879   0.559   0.082   0.151   0.047  0  0  5
494 21.458 0.009 1 0.876 0.876   0.496   0.101   0.192   0.055  0  0  5
495 21.476 0.012 1 0.916 0.916   0.803   0.098   0.223   0.051  0  0  5
496 19.784 0.002 1 0.866 0.866   0.602   0.040   0.134   0.032 30 30  5
497 20.965 0.006 1 0.980 0.980 -99.000 -99.000 -99.000 -99.000  0  0  5
500 19.591 0.002 1 0.888 0.888   0.695   0.035   0.192   0.030 30 30  5
501 20.931 0.005 1 0.963 0.963   0.444   0.115   0.032   0.098  0  0  5
505 20.904 0.006 1 0.874 0.874   0.537   0.106   0.112   0.073  0  0  2
506 21.355 0.010 1 0.882 0.882   0.405   0.124   0.119   0.081  0  0  2
507 20.511 0.003 1 0.894 0.894   0.681   0.060   0.185   0.048 30 30  2
508 20.679 0.006 1 0.907 0.907   0.550   0.131   0.109   0.089  0  0  2
509 20.200 0.003 1 0.849 0.849   0.583   0.073   0.170   0.059 30 20  2
510 20.866 0.005 1 0.902 0.902   0.651   0.134   0.155   0.092  0  0  2
511 20.651 0.005 1 0.836 0.836   0.546   0.084   0.184   0.065  0  0  2
522 21.464 0.011 1 0.898 0.898   0.590   0.120   0.063   0.062  0  0  2
