STAR109 186.208481 11.841206 18.033 0.001 0.473 0.001 0.715 0.001    264   8
STAR110 186.209259 12.372261 19.653 0.002 0.511 0.002 0.773 0.003    131  13
STAR111 186.219635 13.201394 18.443 0.001 0.411 0.001 0.752 0.001    -47  10
STAR112 186.222229 13.257648 20.598 0.004 0.472 0.005 0.716 0.004     47  22
STAR113 186.224503 13.361356 18.388 0.001 0.503 0.001 0.722 0.001    293  10
STAR114 186.229218 12.366825 18.544 0.001 0.731 0.001 1.077 0.002    -45   8
STAR115 186.231705 12.604208 20.213 0.003 0.539 0.003 0.755 0.003     47  15
STAR116 186.232880 11.694345 17.996 0.001 0.518 0.001 0.799 0.001    123  10
STAR117 186.232895 12.721091 17.344 0.000 0.573 0.001 0.810 0.001    -97   6
STAR118 186.237549 11.652530 19.557 0.002 0.543 0.002 0.770 0.003     14  10
STAR119 186.242783 12.355695 20.472 0.005 0.513 0.004 0.715 0.005    146  33
STAR120 186.246964 13.403498 20.345 0.003 0.558 0.004 0.784 0.004    213  19
STAR121 186.247116 11.567892 17.280 0.001 0.697 0.001 1.180 0.001    -17   9
STAR122 186.250122 12.537249 18.694 0.001 0.497 0.001 0.678 0.001     77   6
STAR123 186.252823 12.235312 20.784 0.006 0.453 0.006 0.799 0.007    396  27
STAR124 186.256805 12.304828 19.813 0.003 0.442 0.003 0.683 0.003     22  13
STAR125 186.257553 11.852439 20.031 0.003 0.509 0.003 0.759 0.004    184  22
STAR126 186.257919 13.015475 18.188 0.001 0.495 0.001 0.691 0.001   -116   7
STAR127 186.259140 11.884033 18.107 0.001 0.509 0.001 0.767 0.001     26   8
STAR128 186.259659 12.634008 19.332 0.001 0.527 0.002 0.801 0.002    -29  12
STAR129 186.260513 11.998034 19.662 0.002 0.591 0.003 0.888 0.003    197   9
STAR130 186.263336 12.561311 18.639 0.001 0.815 0.002 1.242 0.001     61  18
STAR131 186.264008 12.710070 19.266 0.001 0.564 0.002 0.834 0.002    248   8
STAR132 186.265884 11.545333 19.078 0.002 0.552 0.002 0.824 0.002     46  15
STAR133 186.267181 12.101623 18.684 0.001 0.506 0.001 0.741 0.002     43   8
STAR134 186.268173 12.641522 19.786 0.002 0.578 0.003 0.858 0.002    -20  15
STAR135 186.270401 12.198292 20.533 0.005 0.551 0.005 0.831 0.006   -269  16
STAR136 186.271393 12.303783 19.864 0.003 0.860 0.004 1.539 0.004     95  33
STAR137 186.272186 12.332727 17.237 0.001 0.752 0.001 1.248 0.001     30  11
STAR138 186.274048 12.054897 19.325 0.002 0.426 0.002 0.717 0.002    143  10
STAR139 186.277710 11.930489 18.304 0.001 0.498 0.001 0.724 0.001     70   5
STAR140 186.280716 12.427094 17.545 0.001 0.609 0.001 0.849 0.001    -77  14
STAR141 186.280975 12.345650 20.668 0.005 0.483 0.005 0.731 0.006    243  25
STAR142 186.281281 12.924498 19.834 0.002 0.469 0.003 0.750 0.003     15  18
STAR143 186.282425 12.405897 17.582 0.001 0.645 0.001 1.104 0.001     43   8
STAR144 186.284500 13.159572 17.965 0.001 0.553 0.001 0.808 0.001     17   6
STAR145 186.285797 12.651836 20.041 0.002 0.483 0.003 0.691 0.003    -55  28
STAR146 186.290070 13.166972 19.771 0.002 0.565 0.003 0.826 0.002    149  11
STAR147 186.290131 11.849873 19.103 0.002 0.578 0.002 0.882 0.002    163  12
STAR148 186.292099 12.410650 20.643 0.005 0.606 0.005 0.914 0.007    202  22
STAR149 186.294739 12.259361 19.345 0.002 0.699 0.003 1.219 0.003    -14  13
STAR150 186.300812 13.186250 19.898 0.002 0.558 0.003 0.806 0.003    -47  20
STAR151 186.304337 11.833353 19.136 0.002 0.584 0.002 0.882 0.002    -41   7
STAR152 186.304764 11.652666 20.624 0.005 0.486 0.005 0.715 0.006    119  31
STAR153 186.305832 13.222012 19.030 0.001 0.537 0.002 0.793 0.001    210   8
STAR154 186.314590 13.266213 19.583 0.002 0.598 0.002 0.862 0.002    -46   8
STAR155 186.317673 13.002544 20.612 0.004 0.475 0.005 0.697 0.004     22  25
STAR156 186.318436 12.775702 20.272 0.003 0.494 0.004 0.708 0.003    130  24
STAR157 186.325943 13.022397 20.105 0.002 0.585 0.003 0.826 0.003     23  10
STAR158 186.326370 12.209389 18.078 0.001 0.596 0.001 0.867 0.001    -63   6
STAR159 186.330627 12.384489 19.747 0.003 0.466 0.003 0.710 0.003     68  18
STAR160 186.332809 12.936614 20.381 0.003 0.502 0.004 0.730 0.004    -43  24
STAR161 186.336426 12.669319 18.330 0.001 0.605 0.001 0.853 0.001     69   6
STAR162 186.341202 12.014783 18.196 0.001 0.651 0.001 0.958 0.001     12   7
STAR163 186.342514 11.831131 18.602 0.001 0.457 0.001 0.698 0.002     85   7
STAR164 186.342728 13.403064 20.008 0.002 0.497 0.003 0.702 0.003    188  10
STAR165 186.343857 13.076420 17.959 0.001 0.671 0.001 0.981 0.001     46   8
STAR166 186.345123 12.377334 20.696 0.006 0.717 0.006 1.106 0.007    248  36
STAR167 186.347992 12.303886 19.951 0.003 0.449 0.003 0.680 0.004   -133  14
STAR168 186.348465 11.785242 20.184 0.004 0.514 0.003 0.684 0.004    -48  18
STAR169 186.349594 13.303522 19.915 0.002 0.569 0.003 0.815 0.003    -64   9
