gaia_dr3_id,gaia_ra,gaia_dec,layer,pixel_scale_arcsec,width_pixels,height_pixels,url,content_type,byte_count,file_path,sha256
3907908764590507392,187.525224984589,12.664998115280,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.525224984589&dec=12.664998115280&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6217,data/literature/validation/gaia_image_cutouts/3907908764590507392_ls-dr10.jpg,34602bfa3fe3c29f3b5d9d074e6981c3b3e481d829294ed58d3247671a0bdba1
3907908764590507392,187.525224984589,12.664998115280,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.525224984589&dec=12.664998115280&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1656,data/literature/validation/gaia_image_cutouts/3907908764590507392_ls-dr10-model.jpg,f858f11527de93429da30739f06745493739823d3505fa72ecff7279d8e9116b
3907908764590507392,187.525224984589,12.664998115280,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.525224984589&dec=12.664998115280&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6115,data/literature/validation/gaia_image_cutouts/3907908764590507392_ls-dr10-resid.jpg,0a9395da4e8a3bb728b10dfe093ef189c94bbda0eed56146580c6e6f2d65ddb6
3931738170861716352,187.882067819896,12.691765075772,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.882067819896&dec=12.691765075772&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,8338,data/literature/validation/gaia_image_cutouts/3931738170861716352_ls-dr10.jpg,2176d240d31af718a37112cf06649a26ebd057133e8fbffeb617cbd6c72d2c99
3931738170861716352,187.882067819896,12.691765075772,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.882067819896&dec=12.691765075772&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1988,data/literature/validation/gaia_image_cutouts/3931738170861716352_ls-dr10-model.jpg,d4d5aa6c3eb32ff54e80c3ee2b0083ca47197b6d6db81d75e43e3de1e81b16c1
3931738170861716352,187.882067819896,12.691765075772,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.882067819896&dec=12.691765075772&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,8311,data/literature/validation/gaia_image_cutouts/3931738170861716352_ls-dr10-resid.jpg,be7dd3392136a6329bc0e27b3f07b642fd21e38ce0fbac76f6dda33e5939dc90
3931942263415425280,187.630992675836,12.865732510778,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.630992675836&dec=12.865732510778&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,7116,data/literature/validation/gaia_image_cutouts/3931942263415425280_ls-dr10.jpg,1dfddb7386acb053c957d25d954e8589283cf5c9d483045f0453294662adc57d
3931942263415425280,187.630992675836,12.865732510778,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.630992675836&dec=12.865732510778&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1925,data/literature/validation/gaia_image_cutouts/3931942263415425280_ls-dr10-model.jpg,8ff71ddecec49d20b07a87104a867e2078af8d9afc3a083591d66e666086b84e
3931942263415425280,187.630992675836,12.865732510778,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.630992675836&dec=12.865732510778&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,7138,data/literature/validation/gaia_image_cutouts/3931942263415425280_ls-dr10-resid.jpg,489c30881d8c8cefc9b1ca899295eac27b16eca4cc777b404b94403fdc3abf76
4860278347563228160,54.549885786988,-35.665872964819,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.549885786988&dec=-35.665872964819&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6508,data/literature/validation/gaia_image_cutouts/4860278347563228160_ls-dr10.jpg,29456d256f07f8e19352edc04c59b72e9e0ece0d31901c9601f2f08016d540b8
4860278347563228160,54.549885786988,-35.665872964819,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.549885786988&dec=-35.665872964819&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1530,data/literature/validation/gaia_image_cutouts/4860278347563228160_ls-dr10-model.jpg,a1da610ba8c981a68a79912e4046af4e26f231e0b57f6a55841f0c4eeb9d8da5
4860278347563228160,54.549885786988,-35.665872964819,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.549885786988&dec=-35.665872964819&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6429,data/literature/validation/gaia_image_cutouts/4860278347563228160_ls-dr10-resid.jpg,35d309837bba729c1c544f40ae44b260b5a8218c6c338efd90b9e960676d87b8
4860288449326385408,54.353574466522,-35.602668719013,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.353574466522&dec=-35.602668719013&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6732,data/literature/validation/gaia_image_cutouts/4860288449326385408_ls-dr10.jpg,2f8536ea880566090b4d5416d0b436a08d5901d8194ce0a4fde24151f247c18e
4860288449326385408,54.353574466522,-35.602668719013,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.353574466522&dec=-35.602668719013&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1702,data/literature/validation/gaia_image_cutouts/4860288449326385408_ls-dr10-model.jpg,22dc104d48eabb1348cf1fc18e5ab9398ce3afae12dbb2b5377f734e7394bb19
4860288449326385408,54.353574466522,-35.602668719013,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.353574466522&dec=-35.602668719013&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6677,data/literature/validation/gaia_image_cutouts/4860288449326385408_ls-dr10-resid.jpg,53fcd2c71d903744991aa367d577f5b11f67e8ad4e00253e466d0197382436eb
4860373425254943104,54.931338923724,-35.449761554657,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.931338923724&dec=-35.449761554657&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6491,data/literature/validation/gaia_image_cutouts/4860373425254943104_ls-dr10.jpg,6c49171ef4bbdfa1cdb9f264cff9ce0d1abc8425a5360b34114fc638dcf86422
4860373425254943104,54.931338923724,-35.449761554657,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.931338923724&dec=-35.449761554657&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,2412,data/literature/validation/gaia_image_cutouts/4860373425254943104_ls-dr10-model.jpg,77626cc17d00d3e9b103fc74db7b95b11ec2d28b9da29db02d1a5743e5cc496f
4860373425254943104,54.931338923724,-35.449761554657,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.931338923724&dec=-35.449761554657&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6549,data/literature/validation/gaia_image_cutouts/4860373425254943104_ls-dr10-resid.jpg,0d91de0cc1a72d5f51ca2a4f02d38efdcababc3134abac651b35c645930367c0
4860384381715556224,54.904862266971,-35.256030989975,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.904862266971&dec=-35.256030989975&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,7237,data/literature/validation/gaia_image_cutouts/4860384381715556224_ls-dr10.jpg,63741c1ec1b57b43a9945258a1bfe4d58f50844e10c4a24f98582be606170a01
4860384381715556224,54.904862266971,-35.256030989975,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.904862266971&dec=-35.256030989975&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1851,data/literature/validation/gaia_image_cutouts/4860384381715556224_ls-dr10-model.jpg,026f688b6c990f06c3bfe01c2ce684bd52d1e099b39ae2a40d48198444512194
4860384381715556224,54.904862266971,-35.256030989975,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.904862266971&dec=-35.256030989975&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,7070,data/literature/validation/gaia_image_cutouts/4860384381715556224_ls-dr10-resid.jpg,7aa1c74d323287478ae04e5ad21b6b7c5623bd663372050580f6f77d083fd6c7
4860387031711083520,54.653554475254,-35.469252950597,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=54.653554475254&dec=-35.469252950597&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,3223,data/literature/validation/gaia_image_cutouts/4860387031711083520_ls-dr10.jpg,348d2add61ada48d0b5a0f547861b456f74323818926301117704be8236ced23
