ID,NGVS,ra,dec,E(B-V),g_mag,u*-g,g-r,g-i,g-z,g-Ks,Deltaenv,UCD,SimbadName,is_ucd,confirmation_status,distance_mpc
112,J123214.45+120159.0,188.0602008,12.0330727,0.029,20.65,1.159,0.571,0.864,1.016,0.932,0.076,1,NGVS J123214.45+120159.0,1,candidate,16.5
113,J123214.58+120305.3,188.060739,12.0514896,0.029,19.446,1.214,0.562,0.881,1.022,0.974,0.079,1,NGVS J123214.58+120305.3,1,candidate,16.5
114,J123221.10+121613.4,188.087928,12.2703999,0.027,20.773,0.986,0.442,0.791,0.924,0.677,0.055,1,NGVS J123221.10+121613.4,1,candidate,16.5
115,J123223.49+115755.0,188.0978941,11.9652688,0.032,20.191,1.161,0.667,0.861,1.014,0.954,0.005,1,NGVS J123223.49+115755.0,1,candidate,16.5
116,J123225.37+121956.8,188.1056843,12.3324523,0.027,20.516,1.028,0.513,0.749,0.841,0.66,0.081,1,NGVS J123225.37+121956.8,1,candidate,16.5
117,J123244.39+113638.1,188.1849358,11.610585,0.043,21.657,0.919,0.51,0.74,0.819,1.126,0.016,0,,1,candidate,16.5
118,J123244.97+120411.6,188.1873822,12.0699039,0.035,21.538,1.014,0.495,0.754,0.867,0.727,0.057,1,NGVS J123244.97+120411.6,1,candidate,16.5
119,J123253.34+120711.5,188.222254,12.1198664,0.036,21.274,0.893,0.466,0.692,0.754,0.992,-0.004,0,,1,candidate,16.5
120,J123256.67+115104.7,188.2361303,11.8512962,0.034,20.193,0.964,0.501,0.736,0.82,0.57,0.015,1,NGVS J123256.67+115104.7,1,candidate,16.5
121,J123313.42+130553.0,188.3059241,13.0980602,0.03,20.929,0.879,0.426,0.704,0.828,1.126,0.026,0,,1,candidate,16.5
122,J123319.67+121112.3,188.3319655,12.1867587,0.034,20.027,0.977,0.481,0.673,0.785,0.994,0.134,0,,1,candidate,16.5
123,J123329.47+121017.4,188.3727924,12.171518,0.034,20.567,1.013,0.522,0.764,0.888,0.656,0.076,1,NGVS J123329.47+121017.4,1,candidate,16.5
124,J123346.31+115702.3,188.4429573,11.9506379,0.036,20.996,1.315,0.608,0.961,1.141,1.25,-0.002,1,NGVS J123346.31+115702.3,1,candidate,16.5
125,J123348.68+124647.9,188.4528619,12.7799771,0.031,20.327,1.081,0.586,0.837,0.996,0.915,0.343,0,,1,candidate,16.5
126,J123351.52+122346.0,188.4646471,12.3961311,0.032,19.679,1.176,0.653,0.953,1.1,1.842,0.211,0,,1,candidate,16.5
127,J123359.60+114730.9,188.4983267,11.7919191,0.04,21.375,1.005,0.459,0.777,0.888,0.505,0.011,1,NGVS J123359.60+114730.9,1,candidate,16.5
