ID,ra,dec,R,V0,(V-R)0,RV,e_RV,Simbad,is_ucd,confirmation_status,distance_mpc
84,159.16875,-27.58672222222222,3.55,23.06,0.58,3247,48,Simbad,1,candidate,50.7
85,159.21124999999998,-27.55366666666667,2.48,23.08,0.56,4745,66,Simbad,1,candidate,50.7
86,159.13124999999997,-27.555833333333332,3.27,23.09,0.57,3946,56,Simbad,1,candidate,50.7
87,159.2120833333333,-27.59122222222222,4.28,23.1,0.65,3301,55,Simbad,1,candidate,50.7
88,159.19166666666663,-27.58611111111111,3.56,23.1,0.64,3040,93,Simbad,1,candidate,50.7
89,159.15708333333333,-27.49866666666667,2.19,23.1,0.56,4927,72,Simbad,1,candidate,50.7
90,159.13458333333332,-27.526305555555556,2.63,23.11,0.64,4068,59,Simbad,1,candidate,50.7
91,159.17541666666665,-27.507805555555557,1.25,23.14,0.64,3546,96,Simbad,1,candidate,50.7
92,159.17041666666663,-27.511861111111113,1.1,23.16,0.46,4901,70,Simbad,1,candidate,50.7
93,159.17458333333332,-27.611222222222224,4.98,23.17,0.53,4137,59,Simbad,1,candidate,50.7
94,159.12499999999997,-27.517194444444442,3.26,23.19,0.56,4060,56,Simbad,1,candidate,50.7
95,159.1625,-27.506138888888888,1.64,23.21,0.63,3748,99,Simbad,1,candidate,50.7
96,159.1895833333333,-27.39713888888889,7.9,23.22,0.63,3571,46,Simbad,1,candidate,50.7
97,159.1933333333333,-27.52661111111111,0.89,23.28,0.52,3874,92,Simbad,1,candidate,50.7
98,159.24249999999998,-27.425055555555556,7.29,23.28,0.51,5091,85,Simbad,1,candidate,50.7
99,159.20124999999996,-27.533083333333334,1.41,23.28,0.63,5347,54,Simbad,1,candidate,50.7
100,159.2120833333333,-27.560666666666666,2.8,23.29,0.58,4071,68,Simbad,1,candidate,50.7
101,159.15708333333333,-27.534944444444445,1.34,23.29,0.51,3291,48,Simbad,1,candidate,50.7
102,159.2095833333333,-27.485194444444446,3.19,23.3,0.49,3257,62,Simbad,1,candidate,50.7
103,159.135,-27.581555555555557,4.12,23.31,0.64,4494,67,Simbad,1,candidate,50.7
104,159.1358333333333,-27.441666666666666,5.79,23.33,0.68,4194,54,Simbad,1,candidate,50.7
105,159.23791666666665,-27.610666666666667,6.09,23.34,0.58,2767,77,Simbad,1,candidate,50.7
106,159.17458333333332,-27.58127777777778,3.19,23.34,0.6,4946,73,Simbad,1,candidate,50.7
107,159.16791666666663,-27.578694444444444,3.09,23.41,0.58,3261,56,Simbad,1,candidate,50.7
108,159.2145833333333,-27.58738888888889,4.16,23.42,0.6,4443,60,Simbad,1,candidate,50.7
109,159.12124999999997,-27.526333333333334,3.43,23.44,0.55,3693,60,Simbad,1,candidate,50.7
110,159.18624999999997,-27.548750000000002,1.31,23.47,0.46,4024,53,Simbad,1,candidate,50.7
111,159.17041666666663,-27.571083333333334,2.61,23.52,0.45,2962,64,Simbad,1,candidate,50.7
112,159.17166666666665,-27.547055555555556,1.2,23.53,0.53,3948,77,Simbad,1,candidate,50.7
113,159.19166666666663,-27.57283333333333,2.78,23.55,0.57,4179,46,Simbad,1,candidate,50.7
114,159.13291666666663,-27.510305555555554,2.95,23.57,0.6,2701,65,Simbad,1,candidate,50.7
115,159.1233333333333,-27.52022222222222,3.34,23.59,0.56,4279,63,Simbad,1,candidate,50.7
116,159.19791666666663,-27.549694444444444,1.74,23.62,0.6,3710,86,Simbad,1,candidate,50.7
117,159.14916666666664,-27.499055555555557,2.48,23.63,0.74,2439,77,Simbad,1,candidate,50.7
118,159.18874999999997,-27.555500000000002,1.75,23.7,0.66,3887,53,Simbad,1,candidate,50.7
