object_id,name,ra,dec,g_mag,r_mag,re_pc,status
2021MNRA_0113,,54.215258,-35.093031,21.43,20.87,10.4,candidate
2021MNRA_0114,,55.011659,-35.649159,21.43,20.71,34.8,candidate
2021MNRA_0115,,54.44353,-35.468076,21.43,20.75,15.0,candidate
2021MNRA_0116,,53.998154,-35.449057,21.43,20.82,18.2,candidate
2021MNRA_0117,,54.227371,-35.657433,21.44,20.87,17.6,candidate
2021MNRA_0118,,55.067531,-35.414406,21.45,20.96,34.4,candidate
2021MNRA_0119,,54.536691,-35.494257,21.45,20.79,24.9,candidate
2021MNRA_0120,,54.704086,-35.592538,21.45,20.83,90.3,candidate
2021MNRA_0121,,54.695479,-35.396775,21.45,20.82,27.9,candidate
2021MNRA_0122,,55.334722,-35.479522,21.46,20.9,21.7,candidate
2021MNRA_0123,,54.721852,-35.614373,21.46,20.91,31.5,candidate
2021MNRA_0124,,54.579276,-35.53952,21.47,20.52,29.2,candidate
2021MNRA_0125,,55.185825,-35.612928,21.47,20.95,13.8,candidate
2021MNRA_0126,,54.495605,-35.6055,21.47,20.76,35.1,candidate
2021MNRA_0127,,54.770886,-35.448222,21.48,20.87,18.8,candidate
2021MNRA_0128,,54.125454,-35.298359,21.48,20.82,30.2,candidate
2021MNRA_0129,,54.610936,-35.695231,21.48,20.72,29.6,candidate
2021MNRA_0130,,54.610936,-35.695231,21.48,20.72,29.6,candidate
2021MNRA_0131,,54.721523,-35.332713,21.49,20.95,26.9,candidate
2021MNRA_0132,,54.581225,-35.431226,21.5,20.53,17.4,candidate
2021MNRA_0133,,54.500688,-35.502295,21.52,20.83,41.7,candidate
2021MNRA_0134,,54.426209,-35.429531,21.52,20.83,39.2,candidate
2021MNRA_0135,,54.426209,-35.429531,21.52,20.83,39.2,candidate
2021MNRA_0136,,55.028127,-35.49088,21.54,20.91,20.4,candidate
2021MNRA_0137,,54.573489,-35.477122,21.54,20.81,22.0,candidate
2021MNRA_0138,,54.576016,-35.415124,21.54,20.8,13.9,candidate
2021MNRA_0139,,54.648522,-35.517222,21.54,20.83,13.0,candidate
