KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-450,202.540668161,-42.5685563217,1,4.23,15.91,1.44,1.89,-0.02,15.18,3.12,0.0,E,,1,candidate,3.8
KV19-451,202.556389111,-42.1441193386,1,4.08,12.6,1.45,,,,4.0,,E,,1,candidate,3.8
KV19-452,202.556849196,-41.2965512557,1,13.39,18.84,4.24,,,,4.0,,E,,1,candidate,3.8
KV19-453,202.569717326,-41.9624882308,1,5.43,15.64,1.45,2.33,0.45,15.04,3.62,3.88,C,,1,candidate,3.8
KV19-454,202.572676083,-44.3761266709,1,6.04,16.74,1.52,2.89,0.2,15.84,1.62,0.0,D,,1,candidate,3.8
KV19-455,202.573007401,-43.5601056651,1,7.84,15.5,1.48,1.97,0.08,14.5,3.75,0.02,E,,1,candidate,3.8
KV19-456,202.581943707,-42.1928768007,1,4.31,17.88,2.1,1.48,-0.01,16.76,5.0,0.09,E,,1,candidate,3.8
KV19-457,202.582160208,-42.1931027922,1,1.14,17.97,1.89,1.48,-0.01,16.76,2.75,0.09,D,,1,candidate,3.8
KV19-458,202.605930927,-41.5406624919,1,10.05,18.43,4.12,,,,4.0,,E,,1,candidate,3.8
KV19-459,202.615194936,-43.9310686809,1,7.82,17.35,1.57,1.81,0.05,16.49,1.62,0.03,D,,1,candidate,3.8
KV19-460,202.619112907,-44.7779800836,1,0.67,16.92,4.08,,,,,,D,,1,candidate,3.8
KV19-461,202.62602913,-44.5490108198,1,1.58,18.75,2.51,,,,4.0,,E,,1,candidate,3.8
KV19-462,202.628625363,-43.1022637325,1,7.44,18.39,4.04,,,,4.0,,E,,1,candidate,3.8
KV19-463,202.634303944,-44.7917475564,1,4.06,17.68,1.9,,,,,,D,,1,candidate,3.8
KV19-464,202.645455945,-44.6669264869,1,11.53,17.57,1.6,1.39,0.06,16.81,1.75,0.73,B,*,1,candidate,3.8
KV19-465,202.651182418,-42.2027999257,1,1.96,16.8,2.41,,,,3.25,,D,,1,candidate,3.8
KV19-466,202.667087915,-42.7987609754,1,2.16,19.0,1.88,,,,4.0,,E,,1,candidate,3.8
KV19-467,202.667730423,-41.065016857,1,8.49,14.51,1.58,,,,3.75,,D,,1,candidate,3.8
KV19-468,202.688361279,-41.3094653534,1,14.05,17.12,1.63,1.12,-0.09,16.38,4.0,0.05,E,,1,candidate,3.8
KV19-469,202.711647851,-43.5968729091,1,1.39,16.96,2.43,,,,3.38,,D,,1,candidate,3.8
KV19-470,202.722780492,-44.5287884966,1,4.31,11.69,1.9,,,,4.0,,E,,1,candidate,3.8
KV19-471,202.722783339,-41.4890539181,1,11.31,18.43,4.35,,,,4.0,,E,,1,candidate,3.8
KV19-472,202.728206135,-44.3889047077,1,7.63,15.1,1.56,,,,3.5,,D,,1,candidate,3.8
KV19-473,202.746028288,-41.3526230417,1,10.94,18.88,4.0,2.71,0.49,17.26,4.0,0.68,E,,1,candidate,3.8
KV19-474,202.746566429,-44.8596311361,1,5.74,18.42,3.25,2.28,0.35,16.98,,2.2,B,,1,candidate,3.8
KV19-475,202.750666383,-41.0271469281,1,6.54,18.23,1.98,1.53,-0.12,17.15,1.62,0.0,D,,1,candidate,3.8
KV19-476,202.75214544,-43.1322783453,1,9.75,16.05,1.48,1.63,0.02,15.23,2.5,0.06,D,,1,candidate,3.8
KV19-477,202.757001277,-43.2690956981,1,1.43,18.59,2.18,,,,3.33,,D,,1,candidate,3.8
KV19-478,202.758296958,-41.1752741775,1,8.18,17.07,2.02,,,,3.5,,D,,1,candidate,3.8
KV19-479,202.789256897,-43.9239844388,1,7.98,18.25,3.71,2.57,0.57,16.6,,1.74,B,,1,candidate,3.8
KV19-480,202.80252471,-42.7886683274,1,4.6,16.64,1.57,1.47,0.04,15.77,2.25,0.43,B,,1,candidate,3.8
KV19-481,202.805363472,-43.3196162134,1,2.75,18.67,1.99,1.21,-0.12,17.31,1.67,0.01,D,,1,candidate,3.8
KV19-482,202.805657796,-43.6622810927,1,8.36,16.72,1.55,1.22,-0.14,15.67,2.5,0.01,D,,1,candidate,3.8
KV19-483,202.824970938,-42.3002833825,1,10.75,18.73,3.86,2.38,0.5,17.14,4.0,3.18,E,,1,candidate,3.8
KV19-484,202.827301585,-44.400763835,1,1.17,17.86,1.71,1.39,-0.02,16.95,2.75,0.11,C,,1,candidate,3.8
KV19-485,202.829279263,-42.411748563,1,4.32,15.1,1.86,,,,3.5,,D,,1,candidate,3.8
KV19-486,202.832493567,-42.4743963475,1,4.23,18.42,1.8,2.1,0.17,17.56,3.5,0.15,D,,1,candidate,3.8
KV19-487,202.833647854,-41.1349526148,1,5.78,18.09,1.89,2.06,0.07,17.15,1.75,0.0,D,,1,candidate,3.8
KV19-488,202.838173744,-43.5612853012,1,5.28,16.77,1.61,1.34,-0.01,15.69,2.88,0.18,C,,1,candidate,3.8
KV19-489,202.842270752,-41.0273006121,1,6.35,14.54,1.75,,,,3.25,,D,,1,candidate,3.8
KV19-490,202.858261602,-43.5283543883,1,5.92,18.74,3.09,2.18,0.51,17.17,4.0,1.92,E,,1,candidate,3.8
KV19-491,202.860888288,-43.5546756512,1,8.37,18.5,1.88,1.04,-0.05,17.34,2.5,0.12,C,,1,candidate,3.8
KV19-492,202.862877754,-42.6113230882,1,2.41,18.19,2.08,1.54,0.06,17.12,2.0,0.44,B,*,1,candidate,3.8
KV19-493,202.873923472,-43.5255079237,1,8.92,17.99,3.88,,,,4.0,,E,,1,candidate,3.8
KV19-494,202.877979433,-43.5015926861,1,7.81,18.42,1.76,1.29,-0.06,17.18,1.88,0.05,D,,1,candidate,3.8
KV19-495,202.881008174,-41.025516181,1,4.54,14.98,2.14,,,,4.0,,E,,1,candidate,3.8
KV19-496,202.889740458,-43.5301431147,1,10.18,18.35,4.26,2.3,0.55,16.48,4.0,1.48,E,,1,candidate,3.8
KV19-497,202.891902213,-42.4688958137,1,4.21,16.56,1.49,2.65,0.29,15.9,2.25,0.0,D,,1,candidate,3.8
KV19-498,202.892437903,-41.8529986605,1,11.37,18.45,4.81,,,,4.0,,E,,1,candidate,3.8
KV19-499,202.900926057,-41.5507725598,1,13.03,18.52,1.86,1.68,0.08,17.59,1.67,0.36,B,,1,candidate,3.8
KV19-500,202.915025554,-41.8536075024,1,7.66,17.51,1.95,1.65,-0.09,16.36,3.25,0.0,E,,1,candidate,3.8
KV19-501,202.917887451,-41.4536256547,1,9.41,18.35,4.27,2.34,0.47,16.77,4.0,3.73,E,,1,candidate,3.8
KV19-502,202.923550856,-41.2106408112,2,3.7,17.5,1.82,2.68,0.2,16.62,1.5,0.0,D,,1,candidate,3.8
KV19-503,202.931413438,-41.2182107897,1,3.26,17.21,2.0,2.75,0.29,16.28,2.75,0.0,D,,1,candidate,3.8
KV19-504,202.932464892,-42.7494013125,1,9.56,15.39,1.45,1.75,0.2,14.73,3.62,2.86,C,,1,candidate,3.8
KV19-505,202.932841272,-44.2786393364,1,8.99,14.97,1.45,,,,3.62,,D,,1,candidate,3.8
KV19-506,202.934779142,-41.6496295046,1,13.16,17.58,4.42,,,,4.0,,E,,1,candidate,3.8
KV19-507,202.9374569,-43.5387074343,1,8.61,18.79,4.06,2.2,0.45,17.02,4.0,4.02,E,,1,candidate,3.8
KV19-508,202.946746277,-41.4094067637,1,13.14,18.32,4.65,,,,4.0,,E,,1,candidate,3.8
KV19-509,202.953397312,-41.6680052676,1,7.6,14.81,1.66,,,,3.62,,D,,1,candidate,3.8
KV19-510,202.96028628,-43.5195173258,1,12.08,18.51,4.93,,,,4.0,,E,,1,candidate,3.8
KV19-511,202.961318753,-43.3798833241,1,9.75,17.55,1.79,2.48,0.18,16.29,1.75,0.0,D,,1,candidate,3.8
KV19-512,202.987492859,-42.9599852037,1,7.99,17.6,1.75,2.88,0.45,16.65,2.5,0.04,D,,1,candidate,3.8
KV19-513,202.992052551,-42.3509812311,1,2.64,17.62,1.8,2.03,0.07,16.67,4.5,0.01,E,,1,candidate,3.8
KV19-514,202.992180226,-42.3511400843,1,13.02,17.89,2.13,2.03,0.07,16.67,4.0,0.01,E,,1,candidate,3.8
KV19-515,203.014719159,-43.5814988368,1,9.16,15.79,2.1,,,,3.75,,D,,1,candidate,3.8
KV19-516,203.016857978,-43.4129132369,1,7.17,18.13,1.63,2.49,0.15,16.95,1.5,0.0,D,,1,candidate,3.8
KV19-517,203.017047664,-42.0340418226,1,15.16,18.91,4.95,,,,4.0,,E,,1,candidate,3.8
KV19-518,203.022276309,-42.8106732167,1,3.35,17.73,1.6,1.35,0.04,16.62,2.12,0.55,B,,1,candidate,3.8
KV19-519,203.037309335,-42.052121929,1,10.21,18.56,4.73,,,,4.0,,E,,1,candidate,3.8
KV19-520,203.039950875,-42.2512370215,1,2.17,17.14,1.52,1.18,-0.03,16.39,3.12,0.17,D,,1,candidate,3.8
KV19-521,203.050731802,-41.3005042408,1,5.58,17.96,2.05,1.74,0.18,16.98,,2.27,B,*,1,candidate,3.8
KV19-522,203.052190051,-41.6038008552,1,1.7,17.75,1.57,1.51,-0.01,17.02,4.0,0.08,E,,1,candidate,3.8
KV19-523,203.077941807,-44.5174692913,1,5.21,16.28,1.55,2.13,0.21,15.44,2.5,0.32,B,,1,candidate,3.8
KV19-524,203.080539901,-44.251039452,1,1.56,18.44,1.87,,,,3.25,,D,,1,candidate,3.8
KV19-525,203.082661057,-42.0195589304,1,7.03,17.48,1.69,2.2,-0.02,16.51,1.88,0.0,D,,1,candidate,3.8
KV19-526,203.090284371,-43.4288948317,1,14.34,17.94,2.05,2.34,0.14,16.58,3.25,0.0,E,,1,candidate,3.8
KV19-527,203.109071949,-44.7677259972,1,1.52,18.8,1.84,,,,3.0,,C,,1,candidate,3.8
KV19-528,203.114734051,-41.829947365,1,9.49,18.55,3.39,2.5,0.56,17.18,4.0,2.02,E,,1,candidate,3.8
KV19-529,203.115348251,-44.2642575294,1,1.31,18.51,2.25,,,,4.0,,E,,1,candidate,3.8
KV19-530,203.116802799,-43.1465585972,1,3.42,17.68,1.6,2.08,0.24,16.77,2.0,1.21,B,,1,candidate,3.8
KV19-531,203.125013321,-44.0891110677,1,1.98,17.18,1.62,1.49,0.07,16.24,3.0,0.63,B,,1,candidate,3.8
KV19-532,203.127004185,-43.4881908804,1,5.95,18.66,1.91,1.67,0.03,17.39,2.5,0.07,D,,1,candidate,3.8
KV19-533,203.153316884,-44.1506821382,1,3.37,18.65,1.83,1.41,-0.14,17.51,1.5,0.0,D,,1,candidate,3.8
KV19-534,203.159585901,-43.6926786501,1,3.01,16.95,1.92,3.01,0.42,15.84,2.0,0.0,D,,1,candidate,3.8
KV19-535,203.171881857,-41.3194447404,1,8.18,17.59,1.85,2.53,0.13,16.67,2.25,0.0,D,,1,candidate,3.8
KV19-536,203.189676554,-44.7694507148,1,10.28,15.08,1.41,,,,3.5,,D,,1,candidate,3.8
KV19-537,203.219904882,-44.5066909127,1,12.98,18.29,4.56,2.48,0.64,16.56,3.62,0.51,C,,1,candidate,3.8
KV19-538,203.220267813,-42.0101118828,1,9.38,18.87,1.97,,,,3.0,,C,,1,candidate,3.8
KV19-539,203.244683379,-42.1513616745,1,8.88,18.41,1.92,1.38,0.51,17.57,3.75,0.0,E,,1,candidate,3.8
KV19-540,203.248700597,-43.0466104697,1,8.55,18.1,4.03,,,,3.5,,D,,1,candidate,3.8
KV19-541,203.252896568,-44.6425680922,1,12.9,18.86,4.19,2.4,0.45,17.13,,3.11,B,,1,candidate,3.8
KV19-542,203.268691544,-44.5268587332,1,5.64,16.2,2.04,,,,,,D,,1,candidate,3.8
KV19-543,203.279438722,-41.3273684674,1,2.97,16.16,1.55,,,,3.0,,C,,1,candidate,3.8
KV19-544,203.300243742,-43.405210515,1,7.26,18.71,3.81,2.25,0.44,16.96,4.0,4.35,E,,1,candidate,3.8
KV19-545,203.30254879,-41.5327316313,1,1.32,17.37,2.3,1.18,-0.05,16.33,2.75,0.13,C,,1,candidate,3.8
KV19-546,203.317308332,-42.5514741334,1,9.92,18.66,4.32,2.49,0.52,16.89,4.0,2.53,E,,1,candidate,3.8
KV19-547,203.318922152,-44.6268490138,1,11.75,18.79,4.23,2.5,0.64,17.15,,0.56,C,,1,candidate,3.8
KV19-548,203.319149582,-43.504519025,1,6.58,16.89,1.52,1.66,-0.07,15.88,2.0,0.0,D,,1,candidate,3.8
KV19-549,203.339494732,-42.9155441683,1,9.43,18.8,4.18,2.43,0.51,17.06,4.0,2.88,E,,1,candidate,3.8
KV19-550,203.349748872,-42.2127484807,1,6.59,13.14,1.67,,,,3.75,,D,,1,candidate,3.8
KV19-551,203.366006855,-41.262191831,1,10.26,18.91,2.92,1.78,0.14,17.63,,0.91,B,,1,candidate,3.8
KV19-552,203.368555197,-43.4228432168,1,1.32,18.08,3.34,,,,4.0,,E,,1,candidate,3.8
KV19-553,203.371172741,-43.3411740677,1,9.36,17.76,1.7,1.78,0.04,16.69,3.5,0.03,E,,1,candidate,3.8
KV19-554,203.372504435,-43.4289353729,1,2.92,18.61,1.71,,,,3.33,,D,,1,candidate,3.8
KV19-555,203.375055478,-41.720972179,1,14.33,18.92,4.4,2.54,0.74,17.48,4.0,0.03,E,,1,candidate,3.8
KV19-556,203.377424423,-43.4532091566,1,11.76,18.99,1.89,2.98,0.28,17.86,2.17,0.0,D,,1,candidate,3.8
KV19-557,203.380565945,-44.2690786846,1,10.45,18.32,1.75,2.36,0.15,17.28,1.62,0.0,D,,1,candidate,3.8
KV19-558,203.400808775,-42.5377536876,1,12.11,18.67,4.24,2.37,0.59,16.98,4.0,0.91,E,,1,candidate,3.8
KV19-559,203.425034887,-44.4821982894,1,3.33,16.93,2.42,1.83,-0.01,15.6,,0.0,E,,1,candidate,3.8
KV19-560,203.42578753,-44.0016461212,1,6.5,18.25,2.11,1.45,-0.05,17.07,4.0,0.03,E,,1,candidate,3.8
KV19-561,203.437648755,-41.3464561726,1,6.59,17.37,2.07,2.0,0.09,16.41,3.75,0.02,E,,1,candidate,3.8
KV19-562,203.438128369,-42.8742629025,1,12.25,17.12,1.91,2.34,0.32,16.04,1.75,0.76,B,,1,candidate,3.8
KV19-563,203.450212933,-42.5592394165,1,10.29,18.15,4.97,,,,4.0,,E,,1,candidate,3.8
KV19-564,203.453473621,-42.5425288866,1,14.0,18.02,4.83,,,,4.0,,E,,1,candidate,3.8
KV19-565,203.45719848,-43.6020176526,1,13.32,18.68,3.86,1.97,0.46,17.0,4.0,1.31,E,,1,candidate,3.8
KV19-566,203.457992917,-43.9947790077,1,10.11,17.98,1.61,1.24,-0.07,16.96,1.75,0.06,D,,1,candidate,3.8
KV19-567,203.462805468,-42.5407953868,1,14.15,18.38,4.84,,,,4.0,,E,,1,candidate,3.8
KV19-568,203.472183655,-43.3121039561,1,8.8,18.95,4.22,,,,4.0,,E,,1,candidate,3.8
KV19-569,203.478425385,-42.3625772059,1,9.45,18.19,1.84,1.33,0.01,17.34,2.0,0.3,B,*,1,candidate,3.8
KV19-570,203.489004293,-42.3423841272,1,5.63,18.47,2.97,2.62,0.47,17.14,4.0,1.0,E,,1,candidate,3.8
KV19-571,203.530710128,-41.4625033352,1,5.67,14.55,1.44,,,,,,D,,1,candidate,3.8
KV19-572,203.533181229,-43.282863491,1,10.47,14.64,1.82,,,,3.5,,D,,1,candidate,3.8
KV19-573,203.537185491,-42.8665618748,1,7.77,18.36,1.69,2.11,0.31,17.4,2.0,3.35,B,*,1,candidate,3.8
KV19-574,203.583036076,-43.2945655111,1,12.61,17.25,1.63,1.43,-0.12,16.16,3.75,0.0,E,,1,candidate,3.8
KV19-575,203.585007598,-43.375846659,1,12.9,18.95,4.44,2.49,0.45,17.13,4.0,2.0,E,,1,candidate,3.8
KV19-576,203.599274475,-42.6712573298,1,9.44,18.87,4.1,2.19,0.28,17.01,4.0,1.07,E,,1,candidate,3.8
KV19-577,203.60520024,-43.0127324756,1,8.96,18.66,3.83,2.39,0.53,17.06,4.0,2.54,E,,1,candidate,3.8
KV19-578,203.612010213,-43.7219777676,1,10.43,18.52,4.48,,,,4.0,,E,,1,candidate,3.8
KV19-579,203.621234194,-42.4216785312,1,9.35,18.95,4.43,,,,4.0,,E,,1,candidate,3.8
KV19-580,203.623760145,-42.833332533,1,6.09,16.11,1.68,1.82,-0.12,14.98,4.0,0.0,E,,1,candidate,3.8
KV19-581,203.632741023,-43.7595093184,1,7.79,17.77,3.82,,,,4.0,,E,,1,candidate,3.8
KV19-582,203.637118095,-42.0801288542,1,4.34,12.99,1.62,,,,3.75,,D,,1,candidate,3.8
KV19-583,203.641580008,-43.8952252883,1,1.97,17.32,1.51,2.42,0.15,16.39,1.75,0.0,D,,1,candidate,3.8
KV19-584,203.642774799,-41.616612821,1,3.98,16.9,1.64,,,,,,D,,1,candidate,3.8
KV19-585,203.648815014,-42.4436094796,1,1.64,14.34,2.33,,,,3.75,,D,,1,candidate,3.8
KV19-586,203.649005684,-42.4435327588,1,4.56,14.26,2.27,,,,5.0,,E,,1,candidate,3.8
KV19-587,203.662570157,-43.5277127657,1,4.49,18.55,2.98,2.01,0.39,17.11,4.0,4.65,E,,1,candidate,3.8
KV19-588,203.66302628,-42.8244506569,1,5.76,18.17,1.79,,,,4.0,,E,,1,candidate,3.8
KV19-589,203.66649248,-41.5247760126,1,4.28,15.81,1.86,1.7,-0.2,14.82,,0.0,E,,1,candidate,3.8
KV19-590,203.666606535,-41.5248890075,1,7.41,15.96,2.18,1.7,-0.2,14.82,,0.0,E,,1,candidate,3.8
KV19-591,203.676819716,-43.0952236373,1,1.59,18.85,2.15,3.23,0.48,17.72,2.67,0.0,D,,1,candidate,3.8
KV19-592,203.679404486,-41.6737161285,1,4.29,17.54,1.82,1.57,0.01,16.71,,0.1,D,,1,candidate,3.8
KV19-593,203.683609521,-44.0395325205,1,9.41,15.41,1.56,1.49,0.09,14.67,3.25,1.03,C,,1,candidate,3.8
KV19-594,203.688328801,-43.3260024633,1,9.95,18.49,4.85,,,,3.5,,D,,1,candidate,3.8
KV19-595,203.690329376,-43.3349281298,1,3.71,17.93,2.17,2.07,-0.06,16.53,5.0,0.0,E,,1,candidate,3.8
KV19-596,203.724441042,-42.279588759,1,9.78,18.81,3.13,0.77,0.05,17.46,3.33,0.02,E,,1,candidate,3.8
KV19-597,203.726104975,-42.0653683749,1,9.8,18.26,1.71,2.18,0.21,17.44,1.25,0.2,C,,1,candidate,3.8
KV19-598,203.735125348,-41.7165488748,1,6.3,17.53,3.98,,,,4.0,,E,,1,candidate,3.8
KV19-599,203.743463248,-42.8386606674,1,8.44,18.69,3.75,2.34,0.52,17.11,4.0,2.58,E,,1,candidate,3.8
KV19-600,203.748032962,-42.9201017997,1,9.32,18.98,4.58,,,,4.0,,E,,1,candidate,3.8
KV19-601,203.756570963,-42.6038371377,1,13.34,18.3,4.64,,,,3.5,,D,,1,candidate,3.8
KV19-602,203.774911282,-43.0397496396,1,6.82,18.98,3.67,2.43,0.66,17.38,4.0,0.19,E,,1,candidate,3.8
KV19-603,203.776681374,-43.4845595276,1,8.77,17.85,4.69,,,,4.0,,E,,1,candidate,3.8
KV19-604,203.794483701,-44.4075350913,1,9.46,16.0,1.51,,,,,,D,,1,candidate,3.8
KV19-605,203.817753715,-43.1642759374,1,3.8,17.74,1.57,2.63,-0.02,16.73,3.0,0.0,D,,1,candidate,3.8
KV19-606,203.835356134,-41.632652831,1,11.36,18.95,4.04,2.43,0.55,17.45,,2.02,B,,1,candidate,3.8
KV19-607,203.836844267,-41.7746536397,1,12.4,18.88,4.93,,,,4.0,,E,,1,candidate,3.8
KV19-608,203.84955474,-43.3794117975,1,3.54,17.23,1.67,2.01,0.07,16.09,2.25,0.01,D,,1,candidate,3.8
KV19-609,203.860470803,-42.5403671632,1,11.04,18.99,4.58,,,,4.0,,E,,1,candidate,3.8
KV19-610,203.882205328,-43.8016936163,1,5.83,16.89,1.51,3.09,0.26,15.96,,0.0,E,,1,candidate,3.8
KV19-611,204.028816603,-42.3309378561,1,1.63,18.25,1.74,2.17,0.09,17.38,,0.0,E,,1,candidate,3.8
KV19-612,204.031036022,-42.0910348809,1,1.16,17.07,2.77,,,,,,D,,1,candidate,3.8
KV19-613,204.057203226,-44.1442022908,1,7.5,18.86,3.55,2.4,0.41,17.16,,2.45,B,,1,candidate,3.8
KV19-614,204.060585537,-42.4695163362,1,7.46,15.86,1.52,1.79,0.0,15.1,3.5,0.01,E,,1,candidate,3.8
KV19-615,204.066871988,-43.0396612827,1,6.93,18.38,1.72,2.29,0.3,17.32,2.0,0.77,B,,1,candidate,3.8
KV19-616,204.077299851,-43.5154966503,1,3.42,17.92,1.77,2.96,0.24,16.89,1.25,0.0,D,,1,candidate,3.8
KV19-617,204.172850109,-43.5980199033,1,4.8,17.87,1.61,2.69,0.24,16.96,2.5,0.0,D,,1,candidate,3.8
KV19-618,204.209594493,-43.6962149482,1,5.58,14.85,1.51,,,,,,D,,1,candidate,3.8
KV19-619,204.243428676,-43.0349444995,1,11.16,18.95,3.88,2.14,0.64,17.32,,0.03,E,,1,candidate,3.8
KV19-620,204.244548919,-42.6398469671,1,3.56,18.13,1.63,,,,3.75,,D,,1,candidate,3.8
KV19-621,204.248615344,-42.6485447678,1,5.54,13.85,1.55,,,,3.75,,D,,1,candidate,3.8
KV19-622,204.268570885,-43.6226127962,1,5.93,17.75,1.59,1.53,0.13,16.93,,1.68,B,,1,candidate,3.8
KV19-623,204.321738606,-42.9610823744,1,2.75,17.65,1.81,3.18,0.37,16.64,,0.0,E,,1,candidate,3.8
KV19-624,204.351448218,-42.8874871848,1,5.83,15.37,1.42,1.88,0.01,14.59,,0.0,E,,1,candidate,3.8
KV19-625,204.364294888,-43.0169383271,1,7.14,15.53,1.45,2.18,0.31,14.87,,2.2,B,,1,candidate,3.8
KV19-626,204.375314734,-43.6919130041,1,9.87,18.18,2.13,1.07,-0.01,17.04,,0.2,D,,1,candidate,3.8
KV19-627,204.37635944,-43.2613498548,1,2.85,17.0,1.71,2.65,0.14,15.97,,0.0,E,,1,candidate,3.8
KV19-628,204.38370033,-43.0661174535,1,1.85,15.84,2.0,2.01,0.33,14.79,,5.04,B,,1,candidate,3.8
KV19-629,204.383939728,-42.4897557631,1,7.74,18.99,2.92,,,,4.0,,E,,1,candidate,3.8
KV19-630,204.434854229,-42.7652419518,1,3.84,18.58,1.82,,,,1.83,,B,,1,candidate,3.8
KV19-631,204.436972235,-43.1795480538,1,2.73,17.93,1.8,,,,,,D,,1,candidate,3.8
KV19-632,204.440730847,-42.6573523982,1,3.7,18.63,1.82,,,,4.0,,E,,1,candidate,3.8
