KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-098,199.769251663,-41.4889007938,1,8.18,18.21,4.31,,,,4.0,,E,,1,candidate,3.8
KV19-099,199.769634173,-43.3490147851,1,5.37,17.55,1.76,1.58,-0.04,16.46,3.75,0.01,E,,1,candidate,3.8
KV19-100,199.776021379,-41.782050529,1,10.44,18.71,3.92,2.5,0.32,16.96,4.0,0.14,E,,1,candidate,3.8
KV19-101,199.778650985,-43.1769658438,1,10.52,16.77,1.47,1.2,-0.23,15.57,3.0,0.0,D,,1,candidate,3.8
KV19-102,199.790627486,-42.141788933,1,6.62,17.95,1.71,2.09,0.06,16.94,3.5,0.0,E,,1,candidate,3.8
KV19-103,199.79594603,-44.204559584,1,3.79,17.52,1.69,1.49,-0.07,16.55,2.0,0.01,D,,1,candidate,3.8
KV19-104,199.808021346,-44.9987356326,1,7.61,17.31,1.82,1.29,-0.02,16.52,,0.2,D,,1,candidate,3.8
KV19-105,199.81116716,-43.100788364,1,6.79,18.45,1.77,2.07,0.39,17.41,,4.93,B,,1,candidate,3.8
KV19-106,199.820765492,-43.5980935873,1,6.99,15.29,1.51,1.53,-0.11,14.36,3.5,0.0,E,,1,candidate,3.8
KV19-107,199.829976847,-43.7135578445,1,7.66,16.96,1.57,,,,3.5,,D,,1,candidate,3.8
KV19-108,199.834106579,-44.0128631848,1,7.13,17.07,1.85,1.32,0.02,16.05,2.75,0.37,B,,1,candidate,3.8
KV19-109,199.849210744,-43.4945821051,1,1.16,16.25,1.69,,,,3.75,,D,,1,candidate,3.8
KV19-110,199.878363223,-44.881168884,1,1.47,18.35,2.32,0.91,0.39,17.58,,0.0,E,,1,candidate,3.8
KV19-111,199.879643222,-43.7302877665,1,6.2,17.12,1.55,2.76,0.26,16.1,2.75,0.0,D,,1,candidate,3.8
KV19-112,199.896889533,-41.0778398286,1,11.04,18.38,3.78,,,,4.0,,E,,1,candidate,3.8
KV19-113,199.911019226,-44.2041882043,1,4.98,18.02,1.69,2.58,0.21,17.15,2.38,0.0,D,,1,candidate,3.8
KV19-114,199.924139724,-44.2067338755,1,14.38,18.84,4.13,,,,4.0,,E,,1,candidate,3.8
KV19-115,199.929668536,-43.98993604,1,5.24,17.98,2.04,1.29,-0.19,16.67,3.75,0.0,E,,1,candidate,3.8
KV19-116,199.952059615,-42.7044606094,1,7.12,16.96,1.48,1.94,0.0,15.9,2.0,0.0,D,,1,candidate,3.8
KV19-117,199.954646597,-41.7778336678,1,3.59,18.55,1.94,0.98,-0.02,17.58,4.0,0.14,E,,1,candidate,3.8
KV19-118,199.961388631,-41.6951307866,1,7.08,17.77,1.59,1.66,-0.01,16.93,2.25,0.02,D,,1,candidate,3.8
KV19-119,199.966189206,-43.3308886098,1,5.81,16.8,1.61,,,,3.5,,D,,1,candidate,3.8
KV19-120,199.975243258,-41.0303776165,1,9.5,18.31,3.6,2.28,0.44,16.64,4.0,4.21,E,,1,candidate,3.8
KV19-121,199.978426431,-41.7034060369,1,9.29,18.8,3.87,2.16,0.53,17.31,4.0,1.16,E,,1,candidate,3.8
KV19-122,199.998715056,-41.1298115884,1,14.74,18.71,4.77,,,,4.0,,E,,1,candidate,3.8
KV19-123,200.011987203,-41.0364945372,1,8.81,18.77,4.53,,,,4.0,,E,,1,candidate,3.8
KV19-124,200.013410503,-43.2929555657,1,10.54,18.69,4.61,,,,4.0,,E,,1,candidate,3.8
KV19-125,200.019700154,-42.478196383,1,3.15,18.18,1.75,1.06,-0.15,17.01,3.0,0.01,D,,1,candidate,3.8
KV19-126,200.036346051,-41.0737190954,1,1.44,18.61,2.68,3.17,0.34,17.28,4.0,0.0,E,,1,candidate,3.8
KV19-127,200.041716617,-42.4852986196,1,5.84,16.76,1.79,,,,3.75,,D,,1,candidate,3.8
KV19-128,200.04782194,-43.7030027996,1,13.15,18.5,4.57,,,,4.0,,E,,1,candidate,3.8
KV19-129,200.051083467,-43.6946166676,1,7.82,18.32,3.98,,,,4.0,,E,,1,candidate,3.8
KV19-130,200.072419887,-40.9645629504,1,1.24,17.93,2.48,,,,4.0,,E,,1,candidate,3.8
KV19-131,200.073099763,-43.8647485328,1,12.31,17.0,3.95,,,,4.0,,E,,1,candidate,3.8
KV19-132,200.076340717,-44.1817110759,1,0.61,16.34,1.76,1.18,0.07,15.55,2.5,0.55,B,,1,candidate,3.8
KV19-133,200.08256469,-42.8792707223,1,11.31,18.33,4.52,,,,4.0,,E,,1,candidate,3.8
KV19-134,200.086392526,-41.8516803882,1,5.57,17.55,1.88,2.68,0.09,16.36,2.75,0.0,D,,1,candidate,3.8
KV19-135,200.090295571,-43.4914435996,1,4.43,14.78,1.45,,,,4.0,,E,,1,candidate,3.8
KV19-136,200.095822717,-40.9478240037,1,10.04,18.52,4.08,2.26,0.44,16.73,4.0,4.3,E,,1,candidate,3.8
KV19-137,200.113203719,-42.1750774422,1,10.15,18.98,4.26,,,,4.0,,E,,1,candidate,3.8
KV19-138,200.129713439,-41.5082274287,1,7.31,15.89,1.64,2.39,-0.55,14.38,3.5,0.0,E,,1,candidate,3.8
KV19-139,200.141491407,-45.0825694323,1,13.31,17.19,2.06,,,,2.25,,C,,1,candidate,3.8
KV19-140,200.149272802,-42.749932585,1,4.65,17.93,1.71,1.59,0.0,16.7,2.5,0.05,D,,1,candidate,3.8
KV19-141,200.171981969,-44.7046784178,1,7.66,16.59,1.52,1.73,0.09,15.92,,0.31,C,,1,candidate,3.8
