S,Mmb,ID,f_ID,r,Rmag,Imag,B-V,g-i,mu0,<mu>e,ra,dec,czabs,Rfx,S/N,czem,A06,Simbad,is_ucd,confirmation_status,distance_mpc
2,Uncert,1041400,,,22.78,22.73,0.92,1.19,22.61,19.79,194.923706,27.978266,6982,5.19,2.7,,1,Simbad,1,candidate,100.0
2,Uncert,1038942,,,22.94,23.11,0.64,0.79,23.11,20.73,194.950251,27.950251,6538,2.56,3.6,,0,Simbad,1,candidate,100.0
2,Uncert,1039079,,,22.7,22.88,0.74,0.99,22.69,19.53,194.956909,27.951775,9638,5.4,3.4,,1,Simbad,1,candidate,100.0
2,Uncert,1037297,,,22.89,23.04,0.64,0.92,22.79,19.88,194.963669,27.931713,7153,3.14,2.8,,1,Simbad,1,candidate,100.0
2,Uncert,1040263,,,22.91,22.81,0.83,0.84,22.81,21.02,194.99379,27.965506,6821,3.49,3.4,,1,Simbad,1,candidate,100.0
2,Uncert,1038505,,,23.1,23.12,0.43,0.72,22.69,20.45,195.022415,27.945646,5777,3.83,3.3,,1,Simbad,1,candidate,100.0
2,Uncert,1045724,,,22.32,22.51,0.97,1.27,22.18,18.89,195.124161,28.026764,6896,4.76,4.8,,1,Simbad,1,candidate,100.0
2,Bckgrd,1037801,,,21.17,21.27,0.45,0.43,21.36,20.07,194.968674,27.938253,44368,2.4,17.5,44454,1,Simbad,1,candidate,100.0
2,Bckgrd,1042772,,,23.22,23.37,0.65,0.98,23.41,21.52,194.989502,27.994127,,,,122313,1,Simbad,1,candidate,100.0
2,Bckgrd,1042434,,,23.49,,0.43,,23.27,,195.027924,27.990049,,,,110080,1,Simbad,1,candidate,100.0
2,Bckgrd,1041404,,,21.43,21.49,0.7,0.44,21.56,20.45,195.143799,27.9785,,,,53247,1,Simbad,1,candidate,100.0
2,Bckgrd,1040963,,,23.25,23.51,0.82,0.98,23.26,21.36,195.167541,27.97307,,,,106399,1,Simbad,1,candidate,100.0
2,Bckgrd,1042863,,,,22.77,,0.47,,21.24,195.186996,27.994924,,,,53043,1,Simbad,1,candidate,100.0
2,Bckgrd,4000025,,,,,,,,,195.199371,27.994432,81397,2.72,2.5,81556,0,Simbad,1,candidate,100.0
2,Stars,1039346,,,22.21,22.25,0.76,0.9,21.93,18.45,194.950089,27.955013,2,3.42,6.5,,1,Simbad,1,candidate,100.0
2,Stars,1039823,,,21.06,21.44,0.64,0.29,20.82,18.14,194.963913,27.960506,-43,11.4,16.4,,1,Simbad,1,candidate,100.0
2,Stars,1044234,,,21.82,21.91,0.82,1.08,21.6,18.19,195.147537,28.010304,-114,9.0,10.2,,1,Simbad,1,candidate,100.0
2,Stars,1043666,,,22.04,22.19,0.67,0.64,21.68,18.51,195.160248,28.004345,-200,9.38,11.8,,1,Simbad,1,candidate,100.0
2,Stars,1045115,,,21.62,,0.54,,21.36,,195.229202,28.020098,-139,6.41,15.7,,1,Simbad,1,candidate,100.0
2,Stars,8039100,,,22.52,,0.8,,22.22,,195.252457,27.987934,185,5.53,5.8,,1,Simbad,1,candidate,100.0
