J123329.47+121017.4 M87             12 33 29.47 +12 10 17.46 1317.0 -10.73 198.0 11.97  2
J123346.31+115702.3 M87             12 33 46.31 +11 57 02.30 1351.0 -10.39 243.2 11.25  2
J123359.60+114730.9 M87             12 33 59.60 +11 47 30.91    0.0  -9.92 282.1 12.50  2
J122708.94+074228.3 M49             12 27 08.94 +07 42 28.31    0.0 -11.87 205.7 44.87  2
J122744.26+072542.5 M49             12 27 44.26 +07 25 42.47 1107.0 -10.64 219.9 13.74  2
J122803.46+065343.1 M49             12 28 03.46 +06 53 43.11    0.0  -9.84 341.2 24.89  2
J122806.14+065909.0 M49             12 28 06.14 +06 59 08.97    0.0 -11.16 315.8 18.03  2
J122828.60+070228.2 M49             12 28 28.60 +07 02 28.16    0.0 -10.55 291.5 24.15  2
J122849.25+075919.4 M49             12 28 49.25 +07 59 19.38    0.0 -10.01  68.4 11.22  2
J122922.85+074901.2 M49             12 29 22.85 +07 49 01.18 1675.0 -10.49  60.0 15.07  2
J122925.10+075407.0 M49             12 29 25.10 +07 54 07.01 1107.0 -11.07  38.3 16.41  2
J122926.23+081658.8 M49             12 29 26.23 +08 16 58.80  465.0  -9.86  84.9 10.40  2
J122928.21+075355.4 M49             12 29 28.21 +07 53 55.38  637.0 -11.51  36.7 17.78  2
J122928.62+075824.6 M49             12 29 28.62 +07 58 24.60 1114.0 -10.40  22.9 13.18  2
J122948.37+080042.0 M49             12 29 48.37 +08 00 41.99  907.0 -10.58   3.7 14.86  2
J122957.08+074820.0 M49             12 29 57.08 +07 48 20.01  843.0 -11.57  57.5 17.06  2
J122958.06+080409.2 M49             12 29 58.06 +08 04 09.19  606.0 -11.60  23.9 17.70  2
J123002.49+075846.7 M49             12 30 02.49 +07 58 46.71 1820.0 -10.31  19.6 17.78  2
J123004.35+073932.2 M49             12 30 04.35 +07 39 32.20 1043.0  -9.77 100.6  9.55  2
J123006.03+074901.2 M49             12 30 06.03 +07 49 01.16  549.0 -10.04  57.6 13.21  2
J123006.89+080509.5 M49             12 30 06.89 +08 05 09.50 1001.0 -10.84  34.3 13.43  2
J123008.39+082507.4 M49             12 30 08.39 +08 25 07.38    0.0 -12.31 123.1 17.34  2
J123009.17+074127.5 M49             12 30 09.17 +07 41 27.47    0.0 -11.86  93.0 11.35  2
J123015.56+083445.0 M49             12 30 15.56 +08 34 45.02 -129.0 -10.47 170.1 11.12  2
J123016.65+080454.4 M49             12 30 16.65 +08 04 54.44  778.0 -10.44  42.5 17.42  2
J123018.06+075024.9 M49             12 30 18.06 +07 50 24.89 1070.0 -11.88  59.3 31.55  2
J123029.94+074755.5 M49             12 30 29.94 +07 47 55.46 1395.0 -10.95  77.5 11.12  2
J123109.91+080405.3 M49             12 31 09.91 +08 04 05.29  426.0 -11.47 100.7 14.76  2
J123113.76+074811.9 M49             12 31 13.76 +07 48 11.89 1087.0 -10.00 118.0 17.58  2
J123359.09+074244.6 M49             12 33 59.09 +07 42 44.65  854.0 -11.01 311.2 12.68  2
J123402.20+064950.3 M49             12 34 02.20 +06 49 50.35    0.0 -10.06 453.7 30.27  2
J123909.32+112147.9 M60             12 39 09.32 +11 21 47.94    0.0 -10.25 322.9 12.50  2
J123949.21+110135.3 M60             12 39 49.21 +11 01 35.31    0.0 -10.22 311.0 11.64  2
J124002.08+105517.2 M60             12 40 02.08 +10 55 17.19    0.0  -9.87 314.3 13.84  2
J124049.54+121138.1 M60             12 40 49.54 +12 11 38.06    0.0 -10.01 272.3 13.68  2
J124115.49+103811.9 M60             12 41 15.49 +10 38 11.93    0.0  -9.98 313.9 13.84  2
J124205.30+103959.1 M60             12 42 05.30 +10 39 59.07    0.0  -9.82 278.5 20.32  2
J124206.89+115144.7 M60             12 42 06.89 +11 51 44.71    0.0 -10.36 141.1 11.19  2
J124209.61+113654.7 M60             12 42 09.61 +11 36 54.68    0.0 -10.37 107.7 12.33  2
J124216.65+114428.6 M60             12 42 16.65 +11 44 28.57    0.0 -10.04 112.0 11.02  2
J124229.83+112029.7 M60             12 42 29.83 +11 20 29.71 1493.0 -11.37 102.5 15.03  2
J124232.60+115702.6 M60             12 42 32.60 +11 57 02.58    0.0 -10.13 139.3 12.82  2
J124235.74+114254.2 M60             12 42 35.74 +11 42 54.16    0.0  -9.92  88.8 10.94  2
J124244.72+111240.5 M60             12 42 44.72 +11 12 40.46    0.0 -10.77 117.9 34.91  2
J124248.01+115513.8 M60             12 42 48.01 +11 55 13.76 1241.0 -11.49 122.2 13.27  2
J124312.47+111230.2 M60             12 43 12.47 +11 12 30.22    0.0 -10.02 104.3 18.20  2
J124315.49+113922.8 M60             12 43 15.49 +11 39 22.85    0.0 -10.58  41.5 11.53  2
J124324.30+112343.2 M60             12 43 24.30 +11 23 43.25    0.0 -10.51  48.9 24.89  2
J124352.42+112534.2 M60             12 43 52.42 +11 25 34.20    0.0 -12.58  39.3 14.29  2
J124352.48+112518.3 M60             12 43 52.48 +11 25 18.30    0.0 -11.00  40.5 17.62  2
J124437.85+103801.1 M60             12 44 37.85 +10 38 01.13    0.0 -11.31 273.3 19.10  2
