bibcode,year,title,first_author,doi,has_ads_data_property,category,priority,decision,reason,data_access_status
2025ApJ...981...96C,2025,"Compact [O III] Emission-line Regions (""Green Seeds"") in Hα Emitters at Cosmic Noon from JWST Observations","Chen, Nuo",10.3847/1538-4357/adad69,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...984..132F,2025,X-Ray Constraints on Wandering Black Holes in Stripped Galaxy Nuclei in the Halo of NGC 5128,"Feyan, Samuel L.",10.3847/1538-4357/adc7b9,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...984..178S,2025,Synchronous and Asynchronous X-Ray Monitoring of FRB 20190520B with the Chandra X-Ray Observatory,"Sydnor, Jessica",10.3847/1538-4357/adc7fd,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...985...25C,2025,Using Machine Learning to Estimate Near-ultraviolet Magnitudes and Probe Quenching Mechanisms of z = 0 Nuggets in the RESOLVE and ECO Surveys,"Carr, Derrick S.",10.3847/1538-4357/adc71b,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...985..253M,2025,Exploring the Mysterious High-ionization Source Powering [Ne V] in High-z Analog SBS0335-052 E with JWST/MIRI,"Mingozzi, Matilde",10.3847/1538-4357/adc996,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...986..208B,2025,Intermediate Mass Ratio Inspirals in Milky Way Galaxies,"Bellovary, Jillian",10.3847/1538-4357/add9a0,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...987...99D,2025,Local Analogs of Primordial Galaxies: In Search of Intermediate-mass Black Holes with JWST NIRSpec,"Doan, Sara",10.3847/1538-4357/adcd59,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...987L..36A,2025,New Clues on the Extended He II Ionization in IZw18 from GTC/MEGARA and JWST/MIRI,"Arroyo-Polonio, A.",10.3847/2041-8213/ade874,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...988....1P,2025,A Wide-field Map of Ultracompact Dwarfs in the Coma Cluster,"Pomeroy, Richard T.",10.3847/1538-4357/addf4a,1,distant_sensitivity_data,medium,retrieve_data,Coma compact-system catalog outside the nearby positive-reference domain,not_in_vizier_as_of_2026-07-14
2025ApJ...988....4J,2025,Local Analogs of Potential Ionizers of the Intergalactic Medium: Compact Star-forming Galaxies with Intense C IV λ1550 Emission,"Jung, Intae",10.3847/1538-4357/adde49,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...988..165K,2025,"Kinematic Confirmation of a Remarkable Linear Trail of Galaxies in the NGC 1052 Field, Consistent with Formation in a High-speed Bullet Dwarf Collision","Keim, Michael A.",10.3847/1538-4357/addfd4,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...989...32Y,2025,Formation Pathways of Compact Elliptical Galaxies: Perspective of Internal Structures,"Yi, Jinwon",10.3847/1538-4357/ade4c3,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...989L..14R,2025,Dark Star Clusters or Ultrafaint Dwarf Galaxies? Revisiting UMa3/U1,"Rostami-Shirazi, Ali",10.3847/2041-8213/adf320,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...989L..42T,2025,A JWST View of the Overmassive Black Hole in NGC 4486B,"Tahmasebzadeh, Behzad",10.3847/2041-8213/adf728,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...990...65H,2025,Spectral Energy Distribution Fitting of Globular Clusters in NGC 4874: Masses and Metallicities,"Hartman, Kate",10.3847/1538-4357/adf7ac,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...990..111R,2025,The Interstellar Medium in I Zw 18 Seen with JWST/MIRI. III. Spatially Resolved Three Ionization State Oxygen Abundance,"Rickards Vaught, Ryan J.",10.3847/1538-4357/adf10f,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...990..131C,2025,Formation of a Nuclear Star Cluster through a Merger Event in the Low-surface-brightness Galaxy AGC 223218,"Cao, Tian-Wen",10.3847/1538-4357/adf559,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...990L..13U,2025,Signature of a Dark Ultracompact Dwarf Galaxy Transiting the Milky Way Disk,"Udagawa, Ken",10.3847/2041-8213/adfa6f,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...991....7H,2025,PEARLS: Globular Clusters and Ultracompact Dwarfs in the El Gordo Galaxies at z = 0.87,"Harris, William E.",10.3847/1538-4357/adf8dc,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...991...31E,2025,Kinematical Modeling of the Resolved Stellar Outskirts of M32: Constraints on Tidal Stripping Scenarios,"Escala, Ivanna",10.3847/1538-4357/adf63c,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...991...84D,2025,"Euclid Quick Data Release (Q1)—Spectroscopic Search, Classification, and Analysis of Ultracool Dwarfs in the Deep Fields","Dominguez-Tagle, C.",10.3847/1538-4357/adf72d,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...991L..24T,2025,A Supermassive Black Hole in a Diminutive Ultracompact Dwarf Galaxy Discovered with JWST/NIRSpec+IFU,"Taylor, Matthew A.",10.3847/2041-8213/ae028e,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...991L..56L,2025,Resolving Emission from Small Dust Grains in the Blue Compact Dwarf II Zw 40 with JWST,"Lai, Thomas S.-Y.",10.3847/2041-8213/ae0467,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...992...44D,2025,Revisiting the Gas Dynamics of Henize 2─10: Possible Drivers of the Starburst,"Dalsin, Josephine M.",10.3847/1538-4357/adf857,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...992...48H,2025,The Interstellar Medium in I Zw 18 Seen with JWST/MIRI. I. Highly Ionized Gas,"Hunt, L. K.",10.3847/1538-4357/adfb69,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
