canonical_object_id,target_ra,target_dec,classification_state,classification_subtype,query_radius_arcsec,association_method,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,ipd_frac_multi_peak,ipd_frac_odd_win,duplicated_source,gaia_dr3_id,dist_arcsec,within_query_radius,match_quality,match_status
canonical_0f0741057944561bbb450900c3875ba1,203.774911282,-43.0397496396,candidate,,1.0,canonical_literature_gaia_dr3_id,6111794885201176064,203.77491161220735,-43.03974975935789,19.76004981994629,18.678789138793945,17.07190704345703,-0.4433304189194224,0.7697200179100037,0.2440911806216941,0.9576659798622131,-0.6514209821705067,0.6951879858970642,5.047492980957031,17.797929763793945,1.6360729932785034,0,0,0,6111794885201176064,0.0009699174077656023,True,within_radius,matched_by_source_id
canonical_0f566775882252bfa376bda3500387a6,54.899671,-35.473493,confirmed,,1.0,canonical_literature_gaia_dr3_id,4860372905562802688,54.899673065875035,-35.473453630301634,19.99695587158203,19.542116165161133,18.27347755432129,0.7136414696251645,0.8329129815101624,0.4208922719672518,0.7615749835968018,0.5474451221462667,1.1093380451202393,6.511603832244873,25.63793182373047,1.708083987236023,0,0,0,4860372905562802688,0.14186026787141084,True,within_radius,matched_by_source_id
canonical_0f5e2985bccc5020bdfc1e0242ffd0fc,200.676763373,-43.9747845054,candidate,,1.0,canonical_literature_gaia_dr3_id,6088591375921730944,200.67676353307488,-43.97478600830349,17.313739776611328,17.101598739624023,16.059646606445312,-0.1293380631575622,0.19376100599765778,-2.6394162414533717,0.1664469987154007,-2.266783064094234,0.2607150077819824,1.1596070528030396,26.410566329956055,2.0636870861053467,26,6,0,6088591375921730944,0.005426322982863646,True,within_radius,matched_by_source_id
canonical_100543b8e2cd51ffb8e8050dbe2e7b1f,203.599274475,-42.6712573298,candidate,,1.0,canonical_literature_gaia_dr3_id,6112544649052753280,203.59927579070495,-42.67125795875417,19.943471908569336,18.27474594116211,16.90258026123047,,,,,,,8.302010536193848,28.16197967529297,,0,0,0,6112544649052753280,0.004153913382718349,True,within_radius,matched_by_source_id
canonical_1007187c3d9e5a01a92e132a2e4a27d5,202.667087915,-42.7987609754,candidate,,1.0,canonical_literature_gaia_dr3_id,6088582167508180352,202.66708742621614,-42.798760600211196,18.96233367919922,19.035341262817383,18.147512435913086,1.5889549263010236,0.3493970036506653,-1.7124233045265775,0.340503990650177,2.4393785668159156,0.316646009683609,1.8809700012207031,11.955643653869629,1.5380369424819946,0,0,0,6088582167508180352,0.0018685043007799014,True,within_radius,matched_by_source_id
canonical_100c28af37105af1b1c384bdb359e661,54.446503,-35.382603,rejected,,1.0,canonical_literature_gaia_dr3_id,4860298207492308608,54.44658661524311,-35.38261376759046,20.963254928588867,20.63128662109375,19.9022216796875,,,,,,,9.626981735229492,7.7496747970581055,,0,0,0,4860298207492308608,0.2484609430701488,True,within_radius,matched_by_source_id
canonical_103c3ff6532c5b0f8869b0aa0474dfea,198.368622804,-43.499623925,candidate,,1.0,canonical_literature_gaia_dr3_id,6136490947148884096,198.3686187475762,-43.499625292445415,17.26420783996582,17.232704162597656,16.02935028076172,,,,,,,10.265109062194824,2923.776611328125,,2,5,0,6136490947148884096,0.01168081270145251,True,within_radius,matched_by_source_id
canonical_10457d101fc25a1da012e5658bc682be,202.858261602,-43.5283543883,candidate,,1.0,canonical_literature_gaia_dr3_id,6088486853600959232,202.85826207374654,-43.5283549146484,19.42858123779297,18.56844139099121,16.9788875579834,-0.9950548585639986,0.8681359887123108,0.0135157698301355,0.764339029788971,-1.693718586937277,0.83399498462677,4.769601821899414,23.852075576782227,1.7958990335464478,2,0,0,6088486853600959232,0.0022597810847875726,True,within_radius,matched_by_source_id
canonical_1066f4187033519ba2d4522e396b6095,204.243428676,-43.0349444995,candidate,,1.0,canonical_literature_gaia_dr3_id,6111785470633063296,204.24343038057378,-43.03494515911389,19.965166091918945,18.47991371154785,16.977703094482422,,,,,,,12.8944091796875,57.12104034423828,,0,0,0,6111785470633063296,0.00507516977518974,True,within_radius,matched_by_source_id
canonical_10a697be002b52edb5e60b0a0db3b713,201.06853813,-43.5877346156,candidate,,1.0,canonical_literature_gaia_dr3_id,6088614740548577024,201.06854081987598,-43.58773384135415,17.71935272216797,17.54922103881836,16.311195373535156,,,,,,,6.540347099304199,555.5491943359375,,42,8,0,6088614740548577024,0.007547513716429154,True,within_radius,matched_by_source_id
canonical_112ba66b83475a43b3330ca11cf77e03,55.478375,-18.143833333333333,confirmed,,1.0,canonical_literature_gaia_dr3_id,5107470379920956160,55.478356927279314,-18.14394057334821,19.049055099487305,19.505765914916992,18.475238800048828,0.0419790270000032,0.26304998993873596,9.455632890679242,0.2346010059118271,-6.611326387269787,0.17277400195598602,0.0,0.0,0.9952589869499207,0,0,0,5107470379920956160,0.3909833775294161,True,within_radius,matched_by_source_id
