source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,astrometric_matched_transits,astrometric_params_solved,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,non_single_star,radial_velocity,radial_velocity_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_variable_flag,ra_error,dec_error,dist_arcsec,object_id
6112891441888524672,202.93477800317183,-41.649629497090245,19.136219024658203,16.953874588012695,15.447163581848145,,,,,,,6.57810115814209,44.37144470214844,,252,27,26,29,3,1.0,0.0,0,,,108.04034423828125,119.71094512939453,251.30604553222656,17.997060775756836,N,0.8418400287628174,0.641273021697998,0.004099870541593825,2020ApJ...899..140W_0505
6088489568020287104,202.93745753379312,-43.53870831848994,19.867843627929688,18.45612144470215,16.817840576171875,,,,,,,6.906144142150879,21.443666458129883,,171,23,21,19,3,1.0,0.0,0,,,63.505794525146484,33.69424057006836,27.8482723236084,9.647440910339355,N,1.072011947631836,1.0989819765090942,0.003916372419606157,2020ApJ...899..140W_0506
6112920510227205632,202.94674748610785,-41.4094046652718,19.44514274597168,17.702152252197266,16.1240177154541,,,,,,,12.020183563232422,186.24314880371094,,203,23,23,23,3,1.0,0.0,0,,,79.68568420410156,38.10276794433594,109.37178039550781,12.578598976135254,N,1.6216150522232056,1.315250039100647,0.008718649078362466,2020ApJ...899..140W_0507
6112891235725754880,202.95339553510507,-41.668007798501954,14.936596870422363,14.996135711669922,13.991854667663574,2.420434381266276,0.42608800530433655,-9.899844368727257,0.47678500413894653,-7.3866357362670065,0.3633579909801483,3.593553066253662,3354.189697265625,16.448322296142578,226,33,32,29,95,0.0,0.9999129772186279,0,,,494.2571105957031,34.03468322753906,31.681127548217773,1.6913880109786987,N,0.3830130100250244,0.327021986246109,0.011132571597343219,2020ApJ...899..140W_0508
6088489602380031232,202.9602889619643,-43.519518308596936,19.812772750854492,17.799882888793945,16.27242660522461,,,,,,,10.769574165344238,191.48777770996094,,167,25,24,20,3,1.0,0.0,0,,,52.60309982299805,57.17084884643555,188.6770477294922,15.604095458984375,N,1.5767070055007935,1.4841519594192505,0.010282914836418331,2020ApJ...899..140W_0509
6088494584542122368,202.96132840020434,-43.37988409567584,17.886478424072266,17.79372215270996,16.41457176208496,,,,,,,4.444262981414795,143.3925018310547,,155,16,17,16,3,0.0005050000036135316,0.9975219964981079,0,,,222.0419158935547,105.36190795898438,180.3672332763672,2.422856092453003,N,0.8146340250968933,0.7148619890213013,0.034840836601364826,2020ApJ...899..140W_0510
6088562891702082432,202.98749347728685,-42.95998463019946,17.56120491027832,17.97400665283203,16.42706298828125,,,,,,,9.278529167175293,1121.411865234375,,266,30,30,30,3,3.999999989900971e-06,0.9961860179901123,0,,,110.1832275390625,65.77465057373047,110.61772918701172,1.6922260522842407,V,1.0473309755325317,0.8452069759368896,0.0030359367574220404,2020ApJ...899..140W_0511
6112798911108534912,202.99204992652832,-42.350981534345614,17.922313690185547,17.71092414855957,16.58009147644043,0.1988812108745044,0.19995400309562683,-7.987155170172847,0.2528519928455353,-0.4498432163160359,0.14946499466896057,0.7090550065040588,4.4819841384887695,1.249243974685669,176,22,23,20,95,0.03623199835419655,0.9637560248374939,0,,,408.6924743652344,74.21411895751953,118.37181091308594,2.330209970474243,N,0.24988800287246704,0.14341199398040771,0.009510958463421195,2020ApJ...899..140W_0512
6112798911113019008,202.99219258049618,-42.351136549582954,17.970314025878906,17.680971145629883,16.614307403564453,0.4822664433792744,0.4407080113887787,-5.978866540236897,0.6240739822387695,0.8412061759062255,0.3172670006752014,2.5584568977355957,75.52205657958984,2.1692540645599365,169,4,4,20,95,0.008778000250458717,0.9912059903144836,0,,,372.8304443359375,24.643762588500977,46.097572326660156,2.4143118858337402,N,0.5799710154533386,0.30746200680732727,0.04626074251236542,2020ApJ...899..140W_0513
6087737948742920064,203.01471772529192,-43.58149758026586,15.753419876098633,15.702919960021973,14.675407409667969,,,,,,,4.779231071472168,3251.12841796875,,235,31,31,29,3,1.700000029813964e-05,0.9910510182380676,0,,,374.2742004394531,54.079132080078125,54.041908264160156,1.8958489894866943,N,0.494484007358551,0.686424970626831,0.006863073973578681,2020ApJ...899..140W_0514
