field_id,ra,dec,n_total_candidates,n_model_c,density,status,glon,glat
53,183.75182778507852,41.906425916851234,1428,824,412.0,success,147.36052146459443,73.44969900818903
54,20.71474263763544,-2.3755483218524405,1316,741,370.5,success,141.16895300774829,-64.12908097292767
55,358.3381476169858,-14.345400518650615,1353,737,368.5,success,73.38674392084128,-71.382487352342
56,196.86725024771837,-15.126578172179563,2414,1208,604.0,success,308.6708143965311,47.56645673696175
59,172.42042596316065,19.512805426223256,1428,820,410.0,success,230.69807841491692,69.77924884058874
57,269.8104470795,24.58424058131763,10075,5047,2523.5,success,50.27457351891705,21.86577039128152
58,261.74580322430796,51.555704737158194,3338,1747,873.5,success,78.65901689838077,33.81140656410782
60,113.23879254797004,61.384623026810026,2753,1530,765.0,success,155.3453659084926,28.494897974047763
61,154.6104678990637,6.643273571748913,1446,784,392.0,success,235.2744515293988,48.3303911104458
62,258.1466954070936,68.0713380733368,2813,1460,730.0,success,98.7188900458244,34.19048851460915
63,218.5195155675266,83.45112303944721,2714,1464,732.0,success,119.55630919481304,32.99063275490807
64,352.93053961202094,28.429984995445537,2885,1641,820.5,success,102.40794322366622,-31.245078898195665
65,150.0064664201443,14.828879343409634,1320,734,367.0,success,221.18559711038188,48.36757071018074
67,12.635913813290438,0.2170799054409992,1322,773,386.5,success,122.44524404585717,-62.65382263488373
66,216.5637319870669,26.344246064711133,1693,997,498.5,success,36.23493593606301,68.84676494342786
68,101.86567833104404,-59.457344992511054,5047,2566,1283.0,success,269.2532797060431,-23.61324646237809
70,73.42032184831957,-0.1263226287434499,3756,2108,1054.0,success,198.62146376811137,-26.003913406082138
69,26.12928764471456,-31.19514905144418,1355,830,415.0,success,235.4333357171104,-77.72949248009604
71,331.29788431692526,-56.64859599543403,2726,1450,725.0,success,336.2038945954483,-48.33103182928967
72,58.155003673715385,21.97070072040418,3451,1849,924.5,success,169.20628022831667,-24.20460727939756
73,48.548479110316165,11.390739160889904,1541,820,410.0,success,169.6372893668592,-38.210342976001314
75,33.54875003634251,10.832386055059148,1313,755,377.5,success,153.55395593753323,-47.059461045405634
